filing_status,from_year,to_year,returns_growth_pct,agi_growth_pct,tax_growth_pct
Head of Household,2018,2019,1.4040337198262254,6.735488112022581,9.151809638977948
Head of Household,2019,2020,-2.682650021279609,4.308104909323096,10.845786746350171
Head of Household,2020,2021,-0.8673595825012037,4.3747384944714085,5.297015124562399
Married Fil. Separately,2018,2019,9.18096832705455,10.850631573980651,10.70292334935301
Married Fil. Separately,2019,2020,3.5527156549520766,3.756980546025046,8.922553901090868
Married Fil. Separately,2020,2021,-0.5059854374922845,166.1651003160348,209.1474840424274
Married Filing Jointly,2018,2019,0.1741689844193095,7.499554596614111,9.073253485474897
Married Filing Jointly,2019,2020,-0.4339915088617863,0.18643407436857995,2.539706037029621
Married Filing Jointly,2020,2021,-1.207928923061652,13.213895892094296,16.706924400871912
Qualifying Widow(er),2018,2019,-17.805383022774322,8.692819114096562,15.182646625992092
Qualifying Widow(er),2019,2020,-14.86146095717884,-9.654239047319024,-9.429056864715346
Qualifying Widow(er),2020,2021,-7.988165680473369,-7.433011618614382,13.006684968439131
Single,2018,2019,3.6818071851941525,5.875533184685877,6.328589487120895
Single,2019,2020,1.1369237724402348,4.459375926772746,7.498617072634328
Single,2020,2021,-1.8690537644951877,11.872034567271172,14.691519363692173
