year,filing_status,num_returns,pct_returns,agi_positive_millions,pct_agi_positive,agi_negative_millions,pct_agi_negative,tax_before_credits_millions,pct_tax_before_credits,tax_after_credits_millions,pct_tax_after_credits,agi_net_millions,effective_rate_before_credits,effective_rate_after_credits,credit_reduction_pct,avg_agi_per_return,avg_tax_per_return
2018,Head of Household,69514.0,0.10909136562729026,3202.883665,0.08072010946321836,-24.447367,0.03398486457767883,158.130038,0.06976873556337547,136.551988,0.06445765881322586,3178.4362979999996,4.97508910590726,4.296200244312716,13.645762862587826,45723.685847455185,1964.381103087148
2018,Married Fil. Separately,14334.0,0.0224949741764476,941.597295,0.023730439401604155,-25.92349,0.03603685816271386,62.708207,0.02766755998525979,57.238147,0.027018551721321463,915.673805,6.848312866173997,6.250932011754993,8.723036842689512,63881.2477326636,3993.17336402958
2018,Married Filing Jointly,222198.0,0.34870505595495355,23846.721111,0.6009927739347849,-420.888865,0.5850875916117244,1385.096581,0.6111200522795325,1299.577998,0.6134495471150455,23425.832245999998,5.912688891710593,5.547627868042576,6.174196382627562,105427.7367303036,5848.738503496881
2018,Qualifying Widow(er),483.0,0.000757993060361671,16.998882,0.00042841131908309015,-0.4336,0.0006027576417894631,0.748452,0.0003302253659730322,0.642826,0.00030343797692839695,16.565282,4.518196551075919,3.880561767677725,14.112595062876442,34296.65010351967,1330.9026915113873
2018,Single,330680.0,0.5189506111809469,11670.680633,0.29412826588130936,-247.667114,0.3442879280060935,659.805239,0.2911134268058593,624.464805,0.2947708043734788,11423.013519,5.776104859742484,5.466725605824786,5.356191783739394,34544.010883633724,1888.4262882545058
2019,Head of Household,70490.0,0.10811731088673374,3412.290483,0.08019455086850133,-19.770986,0.023321520489049577,172.446404,0.0700437171633756,149.048966,0.06495554644496188,3392.5194970000002,5.083136711594262,4.393459378252764,13.567947754944193,48127.670549014045,2114.469655270251
2019,Married Fil. Separately,15650.0,0.024003914248508767,1041.103159,0.024467670809309266,-26.072963,0.030755225906018625,69.80186,0.028351891520553486,63.364302,0.02761416581389495,1015.030196,6.876825957993471,6.242602658492733,9.222616703910186,64858.15948881789,4048.8371884984026
2019,Married Filing Jointly,222585.0,0.34140008006417405,25734.880589,0.6048128671258166,-552.215264,0.6513837799360094,1514.850195,0.6152969046745931,1417.492004,0.6177430825060811,25182.665325,6.015448227778089,5.628840258591651,6.426918735683962,113137.29732461757,6368.317739290608
2019,Qualifying Widow(er),397.0,0.0006089171857289444,18.326116,0.00043069447021168385,-0.320844,0.00037846215255974704,0.839894,0.0003411454018096903,0.740424,0.0003226768142823913,18.005271999999998,4.664711535599129,4.1122622307510825,11.843161160813157,45353.32997481107,1865.0478589420654
2019,Single,342855.0,0.5258697776148545,12343.553573,0.2900942167261613,-249.377104,0.29416101151636276,704.04412,0.28596634123966813,663.984619,0.28936452842077964,12094.176469,5.821348165413478,5.490118493821689,5.689913438947557,35274.90183605314,1936.6339093786003
2020,Head of Household,68599.0,0.10496928150080717,3561.955796,0.08195394673221974,-23.283,0.02347845724087041,188.788644,0.07323384147949025,165.214499,0.06877720168378407,3538.6727960000003,5.335012726053692,4.6688266625485415,12.487056689702172,51584.903511713004,2408.409729004796
2020,Married Fil. Separately,16206.0,0.024798206621118108,1084.596949,0.024954549038506385,-31.432266,0.031696135088462175,72.42394,0.02809429226728337,69.018016,0.028731534066187715,1053.164683,6.876791556824358,6.553392561873442,4.702759888512001,64986.09669258299,4258.794026903616
2020,Married Filing Jointly,221619.0,0.33911845940797075,25879.238334,0.5954329142087577,-649.62394,0.6550774340907858,1563.116605,0.6063555054960242,1453.492134,0.6050747498009343,25229.614394,6.195562804050361,5.761055683616248,7.013198545095096,113842.28966830461,6558.517699294735
2020,Qualifying Widow(er),338.0,0.0005172031246413625,16.557207,0.00038095039304983434,-0.290207,0.00029264324358979854,0.768188,0.00029799121931532415,0.670609,0.0002791680556072791,16.267,4.722370443228622,4.122511833773898,12.702489494759092,48127.218934911245,1984.0502958579882
2020,Single,346753.0,0.5305968493454626,12920.546889,0.29727763962746645,-287.045626,0.2894553303362917,752.790662,0.2920183695378866,713.774283,0.2971373463934867,12633.501263,5.958685928220974,5.649853260318624,5.182898907956968,36433.71870755264,2058.451644253979
2021,Head of Household,68004.0,0.1056532013367451,3711.429656,0.07439171360988217,-17.949179,0.02632290813726937,201.003186,0.06371341431189656,173.965936,0.05992510998148187,3693.4804769999996,5.4421077152481185,4.7100813740134475,13.451154948359873,54312.69450326451,2558.1721075230867
2021,Married Fil. Separately,16124.0,0.025050764930793456,2834.030566,0.05680516937366528,-30.873731,0.04527707840942282,260.167032,0.08246700079725329,213.36746,0.07349754096094671,2803.156835,9.281215690523432,7.611684702614936,17.98827916059711,173849.96495906723,13232.911188290747
2021,Married Filing Jointly,218942.0,0.3401553321432511,28977.11122,0.580815793082606,-413.681846,0.6066745019543242,1825.827444,0.5787455548172411,1696.325966,0.5843242787311734,28563.429374,6.392185686435706,5.938803579181179,7.092755584629054,130461.16950607924,7747.832604068657
2021,Qualifying Widow(er),311.0,0.0004831796014312059,16.560311,0.0003319340597526824,-1.502439,0.0022033633838545405,0.843772,0.0002674564323611148,0.757833,0.00026104665612580817,15.057871999999998,5.603527510394564,5.032802775850399,10.185097395979009,48417.59485530546,2436.7620578778137
2021,Single,340272.0,0.5286575219877792,14351.232051,0.2876553898740939,-217.877151,0.3195221481151292,866.960238,0.2748065736412479,818.63857,0.2819920236702721,14133.3549,6.134143267003081,5.7922451943805635,5.573689066925818,41535.46251234307,2405.835831334932
