filing_status,start_year,end_year,years,returns_cagr,agi_cagr,tax_cagr
Head of Household,2018,2021,3,-0.7293818106528627,5.13341347712426,8.406518443292876
Married Fil. Separately,2018,2021,3,4.000428765959896,45.20075309475029,55.05325005103712
Married Filing Jointly,2018,2021,3,-0.49085872196520386,6.832921871429964,9.287121335297698
Qualifying Widow(er),2018,2021,3,-13.648261391078421,-3.1302328389090195,5.639586572989219
Single,2018,2021,3,0.9576954117731074,7.354814192264447,9.444702571011533
