Min_Income,Max_Income,Tax_Rate_Percent
0,3600.0,1.4000000000000001
3601,7200.0,3.2
7201,14400.0,5.5
14401,21600.0,6.4
21601,28800.0,6.800000000000001
28801,36000.0,7.199999999999999
36001,54000.0,7.6
54001,72000.0,7.9
72001,225000.0,8.25
225001,262500.0,9.0
262501,300000.0,10.0
300001,No Limit,11.0
