Min_Income,Max_Income,Tax_Rate_Percent
0,4800.0,1.4000000000000001
4801,9600.0,3.2
9601,19200.0,5.5
19201,28800.0,6.4
28801,38400.0,6.800000000000001
38401,48000.0,7.199999999999999
48001,72000.0,7.6
72001,96000.0,7.9
96001,300000.0,8.25
300001,350000.0,9.0
350001,400000.0,10.0
400001,No Limit,11.0
