metric,2017_deductions,2026_deductions,difference,pct_change
Total Tax Revenue (Sample),221024318.63406456,150958627.0971825,-70065691.53688204,-31.700444534741536
Total Tax Revenue (Scaled),3696323746.179735,2524572687.1975474,-1171751058.9821877,-31.700444534741546
Average Tax per Filer,5280.462494542479,3606.532410282211,-1673.9300842602684,-31.700444534741546
Median Tax per Filer,2765.9885846496713,1243.3957578161069,-1522.5928268335645,-55.046967123561345
Average Effective Rate,5.2940290491067445,2.7900127024798884,-2.504016346626856,-47.29887810210176
Average Adjustment Rate,4.3387772,4.338777200000001,8.881784197001252e-16,2.220446049250313e-14
Total Adjustments (Scaled),167649176.1690425,114503642.06462404,-53145534.10441846,-31.700444534741546
