district,total_tax_units,weighted_tax_units,total_population_estimate,ctc_recipient_units,ctc_recipient_rate,total_ctc_amount,total_refundable_ctc,total_nonrefundable_ctc,total_qualifying_children,avg_ctc_per_unit,avg_ctc_per_recipient,ctc_Q1_Lowest,ctc_Q2_Low,ctc_Q3_Middle,ctc_Q4_High,ctc_Q5_Highest,ctc_single,ctc_married_filing_jointly,ctc_married_filing_separately,ctc_head_of_household
Hawaii,3759,96210.86312083149,96210.86312083149,552,0.14684756584197925,54923703.07626479,28568740.328065507,26354962.748199288,27807.063956050104,570.86800070888,3565.9616596511482,19808597.180723336,5439252.361574194,9388100.638343181,11835059.434867315,8452693.460756773,1839331.8744058171,30066284.599124327,1570525.504584908,21447561.098149747
Honolulu,19543,437649.6365587275,437649.6365587275,3250,0.16629995394770505,274998629.12938666,154884771.0702245,120113858.05916218,140587.82531101568,628.3533816952801,3538.4443106417752,88322805.65668124,36161587.8120358,49518978.41240303,64758795.43942295,36236461.80884364,8995886.22097764,181046650.38043958,7174861.249026035,77781231.27894342
Maui_Kalawao_Kauai,4344,101256.50032044106,101256.50032044106,722,0.1662062615101289,65959273.9207515,35058847.467973374,30900426.452778127,33505.849162137965,651.4077981365512,3553.7903051793637,23855338.1754106,10840696.191303162,14994645.655043598,10216293.114509491,6052300.784484645,1469885.2832241107,40516800.30325925,909263.0000025185,23063325.334265612
