metric,2017_policy,2024_policy,difference,pct_change
Total Tax Revenue,253809983.5276378,207131010.14564788,-46678973.381989926,-18.391307045219907
Average Tax per Filer,7275.202325440359,5937.197527607645,-1338.0047978327148,-18.391307045219897
Median Tax per Filer,4241.164304228182,3180.483605980509,-1060.6806982476733,-25.00918667994634
Average Effective Rate,603.0657052314226,433.77355177457144,-169.29215345685117,-28.071925163094193
Average Standard Deduction,3023.289477455786,6046.578954911572,3023.289477455786,100.0
Average Taxable Income,96221.56708382105,93222.98003724404,-2998.587046577013,-3.116335700461903
Total Taxable Income,3356881810.853265,3252270104.559333,-104611706.29393196,-3.116335700461892
