metric,2017_deductions,2026_deductions,difference,pct_change
Total Tax Revenue (Sample),242797733.83101693,170147934.91230997,-72649798.91870695,-29.921942751438515
Total Tax Revenue (Scaled),4871683253.983198,3413980979.6949286,-1457702274.2882695,-29.921942751438515
Average Tax per Filer,6959.547505690283,4877.11568527847,-2082.4318204118135,-29.921942751438515
Median Tax per Filer,4057.1496343817907,2292.626603996957,-1764.5230303848339,-43.49169218289637
Average Effective Rate,5.780432900729435,3.2455136470377544,-2.534919253691681,-43.85345003091029
Average Adjustment Rate,4.3387772,4.338777200000001,8.881784197001252e-16,2.220446049250313e-14
Total Adjustments (Scaled),220958373.82505324,154843335.7046113,-66115038.12044194,-29.921942751438515
