house_district,total_returns,single_returns,joint_returns,hoh_returns,mfs_returns,num_zip_codes,single_pct,joint_pct,hoh_pct,mfs_pct,district_type,district
1.0,2198460,1100610,791670,312108,2182530,38,50.062771212576074,36.0102071450015,14.196664938184,99.27540187221965,house,1.0
2.0,2198460,1100610,791670,312108,2182530,38,50.062771212576074,36.0102071450015,14.196664938184,99.27540187221965,house,2.0
3.0,2198460,1100610,791670,312108,2182530,38,50.062771212576074,36.0102071450015,14.196664938184,99.27540187221965,house,3.0
5.0,2198460,1100610,791670,312108,2182530,38,50.062771212576074,36.0102071450015,14.196664938184,99.27540187221965,house,5.0
6.0,2198460,1100610,791670,312108,2182530,38,50.062771212576074,36.0102071450015,14.196664938184,99.27540187221965,house,6.0
7.0,2198460,1100610,791670,312108,2182530,38,50.062771212576074,36.0102071450015,14.196664938184,99.27540187221965,house,7.0
18.0,5027940,2646660,1752750,560778,4611915,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,18.0
19.0,10055880,5293320,3505500,1121556,9223830,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,19.0
20.0,25139700,13233300,8763750,2803890,23059575,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,20.0
21.0,5027940,2646660,1752750,560778,4611915,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,21.0
22.0,10055880,5293320,3505500,1121556,9223830,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,22.0
23.0,5027940,2646660,1752750,560778,4611915,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,23.0
24.0,15083820,7939980,5258250,1682334,13835745,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,24.0
25.0,20111760,10586640,7011000,2243112,18447660,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,25.0
26.0,5027940,2646660,1752750,560778,4611915,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,26.0
27.0,10055880,5293320,3505500,1121556,9223830,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,27.0
28.0,10055880,5293320,3505500,1121556,9223830,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,28.0
30.0,20111760,10586640,7011000,2243112,18447660,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,30.0
31.0,10055880,5293320,3505500,1121556,9223830,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,31.0
32.0,15083820,7939980,5258250,1682334,13835745,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,32.0
35.0,10055880,5293320,3505500,1121556,9223830,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,35.0
36.0,5027940,2646660,1752750,560778,4611915,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,36.0
39.0,5027940,2646660,1752750,560778,4611915,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,39.0
41.0,5027940,2646660,1752750,560778,4611915,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,41.0
43.0,5027940,2646660,1752750,560778,4611915,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,43.0
46.0,25139700,13233300,8763750,2803890,23059575,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,46.0
48.0,5027940,2646660,1752750,560778,4611915,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,48.0
50.0,10055880,5293320,3505500,1121556,9223830,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,50.0
51.0,5027940,2646660,1752750,560778,4611915,58,52.639052971992506,34.860201195718325,11.153235718803327,91.72573658396878,house,51.0
