zip_code,zips_with_irs_data,coverage_pct,district_type,district
82,153,186.58536585365854,house_district,1.0
82,153,186.58536585365854,house_district,2.0
82,153,186.58536585365854,house_district,3.0
82,153,186.58536585365854,house_district,5.0
82,153,186.58536585365854,house_district,6.0
82,153,186.58536585365854,house_district,7.0
198,207,104.54545454545455,house_district,18.0
198,414,209.0909090909091,house_district,19.0
198,1035,522.7272727272727,house_district,20.0
198,207,104.54545454545455,house_district,21.0
198,414,209.0909090909091,house_district,22.0
198,207,104.54545454545455,house_district,23.0
198,621,313.6363636363636,house_district,24.0
198,828,418.1818181818182,house_district,25.0
198,207,104.54545454545455,house_district,26.0
198,414,209.0909090909091,house_district,27.0
198,414,209.0909090909091,house_district,28.0
198,828,418.1818181818182,house_district,30.0
198,414,209.0909090909091,house_district,31.0
198,621,313.6363636363636,house_district,32.0
198,414,209.0909090909091,house_district,35.0
198,207,104.54545454545455,house_district,36.0
198,207,104.54545454545455,house_district,39.0
198,207,104.54545454545455,house_district,41.0
198,207,104.54545454545455,house_district,43.0
198,1035,522.7272727272727,house_district,46.0
198,207,104.54545454545455,house_district,48.0
198,414,209.0909090909091,house_district,50.0
198,207,104.54545454545455,house_district,51.0
82,306,373.1707317073171,senate_district,1.0
82,306,373.1707317073171,senate_district,3.0
82,306,373.1707317073171,senate_district,4.0
198,414,209.0909090909091,senate_district,9.0
198,828,418.1818181818182,senate_district,10.0
198,1242,627.2727272727273,senate_district,11.0
198,828,418.1818181818182,senate_district,13.0
198,414,209.0909090909091,senate_district,14.0
198,1242,627.2727272727273,senate_district,15.0
198,828,418.1818181818182,senate_district,16.0
198,828,418.1818181818182,senate_district,19.0
198,414,209.0909090909091,senate_district,21.0
198,1242,627.2727272727273,senate_district,23.0
198,828,418.1818181818182,senate_district,24.0
198,828,418.1818181818182,senate_district,25.0
