year,year_weight,NAME,state,table_code,variable,value
2015,1.0,Hawaii,15,B19001,B19001_006E,13731
2016,1.0,Hawaii,15,B19001,B19001_006E,13662
2017,1.0,Hawaii,15,B19001,B19001_006E,14242
2018,1.0,Hawaii,15,B19001,B19001_006E,14803
2019,1.0,Hawaii,15,B19001,B19001_006E,12991
2021,1.0,Hawaii,15,B19001,B19001_006E,10270
2022,1.0,Hawaii,15,B19001,B19001_006E,10676
2023,1.0,Hawaii,15,B19001,B19001_006E,11366
2024,1.0,Hawaii,15,B19001,B19001_006E,9840
2015,1.0,Hawaii,15,B19001,B19001_007E,16542
2016,1.0,Hawaii,15,B19001,B19001_007E,16707
2017,1.0,Hawaii,15,B19001,B19001_007E,14594
2018,1.0,Hawaii,15,B19001,B19001_007E,17909
2019,1.0,Hawaii,15,B19001,B19001_007E,16607
2021,1.0,Hawaii,15,B19001,B19001_007E,14278
2022,1.0,Hawaii,15,B19001,B19001_007E,15047
2023,1.0,Hawaii,15,B19001,B19001_007E,14109
2024,1.0,Hawaii,15,B19001,B19001_007E,10960
2015,1.0,Hawaii,15,B19001,B19001_008E,16852
2016,1.0,Hawaii,15,B19001,B19001_008E,16293
2017,1.0,Hawaii,15,B19001,B19001_008E,15836
2018,1.0,Hawaii,15,B19001,B19001_008E,14612
2019,1.0,Hawaii,15,B19001,B19001_008E,12211
2021,1.0,Hawaii,15,B19001,B19001_008E,15795
2022,1.0,Hawaii,15,B19001,B19001_008E,11125
2023,1.0,Hawaii,15,B19001,B19001_008E,11868
2024,1.0,Hawaii,15,B19001,B19001_008E,10740
2015,1.0,Hawaii,15,B19001,B19001_009E,16700
2016,1.0,Hawaii,15,B19001,B19001_009E,16772
2017,1.0,Hawaii,15,B19001,B19001_009E,17186
2018,1.0,Hawaii,15,B19001,B19001_009E,18829
2019,1.0,Hawaii,15,B19001,B19001_009E,14811
2021,1.0,Hawaii,15,B19001,B19001_009E,15335
2022,1.0,Hawaii,15,B19001,B19001_009E,15478
2023,1.0,Hawaii,15,B19001,B19001_009E,12936
2024,1.0,Hawaii,15,B19001,B19001_009E,14061
2015,1.0,Hawaii,15,B19001,B19001_002E,23431
2016,1.0,Hawaii,15,B19001,B19001_002E,25137
2017,1.0,Hawaii,15,B19001,B19001_002E,28417
2018,1.0,Hawaii,15,B19001,B19001_002E,24091
2019,1.0,Hawaii,15,B19001,B19001_002E,23344
2021,1.0,Hawaii,15,B19001,B19001_002E,26535
2022,1.0,Hawaii,15,B19001,B19001_002E,25998
2023,1.0,Hawaii,15,B19001,B19001_002E,22525
2024,1.0,Hawaii,15,B19001,B19001_002E,22135
2015,1.0,Hawaii,15,B19001,B19001_003E,14298
2016,1.0,Hawaii,15,B19001,B19001_003E,16648
2017,1.0,Hawaii,15,B19001,B19001_003E,13429
2018,1.0,Hawaii,15,B19001,B19001_003E,9842
2019,1.0,Hawaii,15,B19001,B19001_003E,12238
2021,1.0,Hawaii,15,B19001,B19001_003E,14890
2022,1.0,Hawaii,15,B19001,B19001_003E,12629
2023,1.0,Hawaii,15,B19001,B19001_003E,14137
2024,1.0,Hawaii,15,B19001,B19001_003E,13560
2015,1.0,Hawaii,15,B19001,B19001_004E,15293
2016,1.0,Hawaii,15,B19001,B19001_004E,11893
2017,1.0,Hawaii,15,B19001,B19001_004E,13464
2018,1.0,Hawaii,15,B19001,B19001_004E,14171
2019,1.0,Hawaii,15,B19001,B19001_004E,12277
2021,1.0,Hawaii,15,B19001,B19001_004E,13803
2022,1.0,Hawaii,15,B19001,B19001_004E,11699
2023,1.0,Hawaii,15,B19001,B19001_004E,10151
2024,1.0,Hawaii,15,B19001,B19001_004E,8741
2015,1.0,Hawaii,15,B19001,B19001_005E,15164
2016,1.0,Hawaii,15,B19001,B19001_005E,16616
2017,1.0,Hawaii,15,B19001,B19001_005E,14330
2018,1.0,Hawaii,15,B19001,B19001_005E,13740
2019,1.0,Hawaii,15,B19001,B19001_005E,15179
2021,1.0,Hawaii,15,B19001,B19001_005E,14986
2022,1.0,Hawaii,15,B19001,B19001_005E,13740
2023,1.0,Hawaii,15,B19001,B19001_005E,14422
2024,1.0,Hawaii,15,B19001,B19001_005E,11566
2015,1.0,Hawaii,15,B19001,B19001_001E,445936
2016,1.0,Hawaii,15,B19001,B19001_001E,455868
2017,1.0,Hawaii,15,B19001,B19001_001E,458078
2018,1.0,Hawaii,15,B19001,B19001_001E,455309
2019,1.0,Hawaii,15,B19001,B19001_001E,465299
2021,1.0,Hawaii,15,B19001,B19001_001E,490080
2022,1.0,Hawaii,15,B19001,B19001_001E,494827
2023,1.0,Hawaii,15,B19001,B19001_001E,493898
2024,1.0,Hawaii,15,B19001,B19001_001E,493151
2015,1.0,Hawaii,15,B19001,B19001_014E,51173
2016,1.0,Hawaii,15,B19001,B19001_014E,50444
2017,1.0,Hawaii,15,B19001,B19001_014E,51085
2018,1.0,Hawaii,15,B19001,B19001_014E,53504
2019,1.0,Hawaii,15,B19001,B19001_014E,54269
2021,1.0,Hawaii,15,B19001,B19001_014E,50572
2022,1.0,Hawaii,15,B19001,B19001_014E,56647
2023,1.0,Hawaii,15,B19001,B19001_014E,52604
2024,1.0,Hawaii,15,B19001,B19001_014E,54862
2015,1.0,Hawaii,15,B19001,B19001_015E,32445
2016,1.0,Hawaii,15,B19001,B19001_015E,34713
2017,1.0,Hawaii,15,B19001,B19001_015E,34245
2018,1.0,Hawaii,15,B19001,B19001_015E,37961
2019,1.0,Hawaii,15,B19001,B19001_015E,38537
2021,1.0,Hawaii,15,B19001,B19001_015E,38415
2022,1.0,Hawaii,15,B19001,B19001_015E,42833
2023,1.0,Hawaii,15,B19001,B19001_015E,45025
2024,1.0,Hawaii,15,B19001,B19001_015E,44643
2015,1.0,Hawaii,15,B19001,B19001_016E,38040
2016,1.0,Hawaii,15,B19001,B19001_016E,37177
2017,1.0,Hawaii,15,B19001,B19001_016E,42481
2018,1.0,Hawaii,15,B19001,B19001_016E,43919
2019,1.0,Hawaii,15,B19001,B19001_016E,47879
2021,1.0,Hawaii,15,B19001,B19001_016E,51453
2022,1.0,Hawaii,15,B19001,B19001_016E,54538
2023,1.0,Hawaii,15,B19001,B19001_016E,56111
2024,1.0,Hawaii,15,B19001,B19001_016E,58439
2015,1.0,Hawaii,15,B19001,B19001_017E,32942
2016,1.0,Hawaii,15,B19001,B19001_017E,41743
2017,1.0,Hawaii,15,B19001,B19001_017E,41888
2018,1.0,Hawaii,15,B19001,B19001_017E,46416
2019,1.0,Hawaii,15,B19001,B19001_017E,50655
2021,1.0,Hawaii,15,B19001,B19001_017E,65102
2022,1.0,Hawaii,15,B19001,B19001_017E,76182
2023,1.0,Hawaii,15,B19001,B19001_017E,84064
2024,1.0,Hawaii,15,B19001,B19001_017E,91131
2015,1.0,Hawaii,15,B19001,B19001_010E,14892
2016,1.0,Hawaii,15,B19001,B19001_010E,14658
2017,1.0,Hawaii,15,B19001,B19001_010E,15690
2018,1.0,Hawaii,15,B19001,B19001_010E,14371
2019,1.0,Hawaii,15,B19001,B19001_010E,13260
2021,1.0,Hawaii,15,B19001,B19001_010E,14176
2022,1.0,Hawaii,15,B19001,B19001_010E,15853
2023,1.0,Hawaii,15,B19001,B19001_010E,12835
2024,1.0,Hawaii,15,B19001,B19001_010E,11476
2015,1.0,Hawaii,15,B19001,B19001_011E,30955
2016,1.0,Hawaii,15,B19001,B19001_011E,31912
2017,1.0,Hawaii,15,B19001,B19001_011E,30533
2018,1.0,Hawaii,15,B19001,B19001_011E,29884
2019,1.0,Hawaii,15,B19001,B19001_011E,31700
2021,1.0,Hawaii,15,B19001,B19001_011E,30787
2022,1.0,Hawaii,15,B19001,B19001_011E,28915
2023,1.0,Hawaii,15,B19001,B19001_011E,25881
2024,1.0,Hawaii,15,B19001,B19001_011E,30883
2015,1.0,Hawaii,15,B19001,B19001_012E,48599
2016,1.0,Hawaii,15,B19001,B19001_012E,48932
2017,1.0,Hawaii,15,B19001,B19001_012E,43069
2018,1.0,Hawaii,15,B19001,B19001_012E,40807
2019,1.0,Hawaii,15,B19001,B19001_012E,46591
2021,1.0,Hawaii,15,B19001,B19001_012E,46878
2022,1.0,Hawaii,15,B19001,B19001_012E,44283
2023,1.0,Hawaii,15,B19001,B19001_012E,44035
2024,1.0,Hawaii,15,B19001,B19001_012E,43861
2015,1.0,Hawaii,15,B19001,B19001_013E,64879
2016,1.0,Hawaii,15,B19001,B19001_013E,62561
2017,1.0,Hawaii,15,B19001,B19001_013E,67589
2018,1.0,Hawaii,15,B19001,B19001_013E,60450
2019,1.0,Hawaii,15,B19001,B19001_013E,62750
2021,1.0,Hawaii,15,B19001,B19001_013E,66805
2022,1.0,Hawaii,15,B19001,B19001_013E,59184
2023,1.0,Hawaii,15,B19001,B19001_013E,61829
2024,1.0,Hawaii,15,B19001,B19001_013E,56253
