year,year_weight,NAME,state,table_code,variable,value
2017,1.0,Hawaii,15,B09002,B09002_015E,41038
2018,1.0,Hawaii,15,B09002,B09002_015E,45131
2019,1.0,Hawaii,15,B09002,B09002_015E,42029
2021,1.0,Hawaii,15,B09002,B09002_015E,34654
2022,1.0,Hawaii,15,B09002,B09002_015E,48407
2023,1.0,Hawaii,15,B09002,B09002_015E,40569
2024,1.0,Hawaii,15,B09002,B09002_015E,47229
2015,1.0,Hawaii,15,B09002,B09002_014E,5075
2016,1.0,Hawaii,15,B09002,B09002_014E,4449
2017,1.0,Hawaii,15,B09002,B09002_014E,4448
2018,1.0,Hawaii,15,B09002,B09002_014E,4764
2019,1.0,Hawaii,15,B09002,B09002_014E,5074
2021,1.0,Hawaii,15,B09002,B09002_014E,5096
2022,1.0,Hawaii,15,B09002,B09002_014E,6940
2023,1.0,Hawaii,15,B09002,B09002_014E,7587
2024,1.0,Hawaii,15,B09002,B09002_014E,6499
2015,1.0,Hawaii,15,B09002,B09002_013E,4992
2016,1.0,Hawaii,15,B09002,B09002_013E,6338
2017,1.0,Hawaii,15,B09002,B09002_013E,6687
2018,1.0,Hawaii,15,B09002,B09002_013E,3929
2019,1.0,Hawaii,15,B09002,B09002_013E,6067
2021,1.0,Hawaii,15,B09002,B09002_013E,8031
2022,1.0,Hawaii,15,B09002,B09002_013E,5686
2023,1.0,Hawaii,15,B09002,B09002_013E,7099
2024,1.0,Hawaii,15,B09002,B09002_013E,6936
2015,1.0,Hawaii,15,B09002,B09002_012E,986
2016,1.0,Hawaii,15,B09002,B09002_012E,1706
2017,1.0,Hawaii,15,B09002,B09002_012E,1126
2018,1.0,Hawaii,15,B09002,B09002_012E,698
2019,1.0,Hawaii,15,B09002,B09002_012E,663
2021,1.0,Hawaii,15,B09002,B09002_012E,928
2022,1.0,Hawaii,15,B09002,B09002_012E,865
2023,1.0,Hawaii,15,B09002,B09002_012E,1019
2024,1.0,Hawaii,15,B09002,B09002_012E,1131
2015,1.0,Hawaii,15,B09002,B09002_011E,1896
2016,1.0,Hawaii,15,B09002,B09002_011E,1700
2017,1.0,Hawaii,15,B09002,B09002_011E,2111
2018,1.0,Hawaii,15,B09002,B09002_011E,1082
2019,1.0,Hawaii,15,B09002,B09002_011E,2353
2021,1.0,Hawaii,15,B09002,B09002_011E,1710
2022,1.0,Hawaii,15,B09002,B09002_011E,1528
2023,1.0,Hawaii,15,B09002,B09002_011E,2434
2024,1.0,Hawaii,15,B09002,B09002_011E,1721
2015,1.0,Hawaii,15,B09002,B09002_010E,2748
2016,1.0,Hawaii,15,B09002,B09002_010E,3311
2017,1.0,Hawaii,15,B09002,B09002_010E,3025
2018,1.0,Hawaii,15,B09002,B09002_010E,2653
2019,1.0,Hawaii,15,B09002,B09002_010E,2584
2021,1.0,Hawaii,15,B09002,B09002_010E,2511
2022,1.0,Hawaii,15,B09002,B09002_010E,3396
2023,1.0,Hawaii,15,B09002,B09002_010E,1770
2024,1.0,Hawaii,15,B09002,B09002_010E,3088
2015,1.0,Hawaii,15,B09002,B09002_020E,12592
2016,1.0,Hawaii,15,B09002,B09002_020E,12641
2017,1.0,Hawaii,15,B09002,B09002_020E,14481
2018,1.0,Hawaii,15,B09002,B09002_020E,13163
2019,1.0,Hawaii,15,B09002,B09002_020E,15413
2021,1.0,Hawaii,15,B09002,B09002_020E,13951
2022,1.0,Hawaii,15,B09002,B09002_020E,17652
2023,1.0,Hawaii,15,B09002,B09002_020E,15751
2024,1.0,Hawaii,15,B09002,B09002_020E,16757
2015,1.0,Hawaii,15,B09002,B09002_009E,15697
2016,1.0,Hawaii,15,B09002,B09002_009E,17504
2017,1.0,Hawaii,15,B09002,B09002_009E,17397
2018,1.0,Hawaii,15,B09002,B09002_009E,13126
2019,1.0,Hawaii,15,B09002,B09002_009E,16741
2021,1.0,Hawaii,15,B09002,B09002_009E,18276
2022,1.0,Hawaii,15,B09002,B09002_009E,18415
2023,1.0,Hawaii,15,B09002,B09002_009E,19909
2024,1.0,Hawaii,15,B09002,B09002_009E,19375
2015,1.0,Hawaii,15,B09002,B09002_008E,56223
2016,1.0,Hawaii,15,B09002,B09002_008E,54369
2017,1.0,Hawaii,15,B09002,B09002_008E,58435
2018,1.0,Hawaii,15,B09002,B09002_008E,58257
2019,1.0,Hawaii,15,B09002,B09002_008E,58770
2021,1.0,Hawaii,15,B09002,B09002_008E,52930
2022,1.0,Hawaii,15,B09002,B09002_008E,66822
2023,1.0,Hawaii,15,B09002,B09002_008E,60478
2024,1.0,Hawaii,15,B09002,B09002_008E,66604
2015,1.0,Hawaii,15,B09002,B09002_007E,60653
2016,1.0,Hawaii,15,B09002,B09002_007E,57350
2017,1.0,Hawaii,15,B09002,B09002_007E,55677
2018,1.0,Hawaii,15,B09002,B09002_007E,57495
2019,1.0,Hawaii,15,B09002,B09002_007E,57577
2021,1.0,Hawaii,15,B09002,B09002_007E,56676
2022,1.0,Hawaii,15,B09002,B09002_007E,54855
2023,1.0,Hawaii,15,B09002,B09002_007E,56378
2024,1.0,Hawaii,15,B09002,B09002_007E,53377
2015,1.0,Hawaii,15,B09002,B09002_006E,61555
2016,1.0,Hawaii,15,B09002,B09002_006E,58269
2017,1.0,Hawaii,15,B09002,B09002_006E,56334
2018,1.0,Hawaii,15,B09002,B09002_006E,65024
2019,1.0,Hawaii,15,B09002,B09002_006E,55241
2021,1.0,Hawaii,15,B09002,B09002_006E,63275
2022,1.0,Hawaii,15,B09002,B09002_006E,56104
2023,1.0,Hawaii,15,B09002,B09002_006E,56796
2024,1.0,Hawaii,15,B09002,B09002_006E,57677
2015,1.0,Hawaii,15,B09002,B09002_005E,10001
2016,1.0,Hawaii,15,B09002,B09002_005E,9814
2017,1.0,Hawaii,15,B09002,B09002_005E,10129
2018,1.0,Hawaii,15,B09002,B09002_005E,8374
2019,1.0,Hawaii,15,B09002,B09002_005E,10862
2021,1.0,Hawaii,15,B09002,B09002_005E,8616
2022,1.0,Hawaii,15,B09002,B09002_005E,9245
2023,1.0,Hawaii,15,B09002,B09002_005E,8305
2024,1.0,Hawaii,15,B09002,B09002_005E,8564
2015,1.0,Hawaii,15,B09002,B09002_004E,19542
2016,1.0,Hawaii,15,B09002,B09002_004E,21767
2017,1.0,Hawaii,15,B09002,B09002_004E,20846
2018,1.0,Hawaii,15,B09002,B09002_004E,23219
2019,1.0,Hawaii,15,B09002,B09002_004E,18651
2021,1.0,Hawaii,15,B09002,B09002_004E,17710
2022,1.0,Hawaii,15,B09002,B09002_004E,17320
2023,1.0,Hawaii,15,B09002,B09002_004E,19150
2024,1.0,Hawaii,15,B09002,B09002_004E,16618
2015,1.0,Hawaii,15,B09002,B09002_003E,29737
2016,1.0,Hawaii,15,B09002,B09002_003E,30029
2017,1.0,Hawaii,15,B09002,B09002_003E,27670
2018,1.0,Hawaii,15,B09002,B09002_003E,27731
2019,1.0,Hawaii,15,B09002,B09002_003E,29870
2021,1.0,Hawaii,15,B09002,B09002_003E,30106
2022,1.0,Hawaii,15,B09002,B09002_003E,25224
2023,1.0,Hawaii,15,B09002,B09002_003E,24695
2024,1.0,Hawaii,15,B09002,B09002_003E,24517
2015,1.0,Hawaii,15,B09002,B09002_002E,181488
2016,1.0,Hawaii,15,B09002,B09002_002E,177229
2017,1.0,Hawaii,15,B09002,B09002_002E,170656
2018,1.0,Hawaii,15,B09002,B09002_002E,181843
2019,1.0,Hawaii,15,B09002,B09002_002E,172201
2021,1.0,Hawaii,15,B09002,B09002_002E,176383
2022,1.0,Hawaii,15,B09002,B09002_002E,162748
2023,1.0,Hawaii,15,B09002,B09002_002E,165324
2024,1.0,Hawaii,15,B09002,B09002_002E,160753
2015,1.0,Hawaii,15,B09002,B09002_001E,237711
2016,1.0,Hawaii,15,B09002,B09002_001E,231598
2017,1.0,Hawaii,15,B09002,B09002_001E,229091
2018,1.0,Hawaii,15,B09002,B09002_001E,240100
2019,1.0,Hawaii,15,B09002,B09002_001E,230971
2021,1.0,Hawaii,15,B09002,B09002_001E,229313
2022,1.0,Hawaii,15,B09002,B09002_001E,229570
2023,1.0,Hawaii,15,B09002,B09002_001E,225802
2024,1.0,Hawaii,15,B09002,B09002_001E,227357
