year,year_weight,NAME,state,table_code,variable,value
2015,1.0,Hawaii,15,B09002,B09002_019E,12282
2016,1.0,Hawaii,15,B09002,B09002_019E,13812
2017,1.0,Hawaii,15,B09002,B09002_019E,13068
2018,1.0,Hawaii,15,B09002,B09002_019E,16615
2019,1.0,Hawaii,15,B09002,B09002_019E,15169
2021,1.0,Hawaii,15,B09002,B09002_019E,11557
2022,1.0,Hawaii,15,B09002,B09002_019E,18205
2023,1.0,Hawaii,15,B09002,B09002_019E,14357
2024,1.0,Hawaii,15,B09002,B09002_019E,16399
2015,1.0,Hawaii,15,B09002,B09002_018E,3648
2016,1.0,Hawaii,15,B09002,B09002_018E,1840
2017,1.0,Hawaii,15,B09002,B09002_018E,2861
2018,1.0,Hawaii,15,B09002,B09002_018E,2798
2019,1.0,Hawaii,15,B09002,B09002_018E,2197
2021,1.0,Hawaii,15,B09002,B09002_018E,1354
2022,1.0,Hawaii,15,B09002,B09002_018E,1956
2023,1.0,Hawaii,15,B09002,B09002_018E,1620
2024,1.0,Hawaii,15,B09002,B09002_018E,2082
2015,1.0,Hawaii,15,B09002,B09002_017E,4334
2016,1.0,Hawaii,15,B09002,B09002_017E,4410
2017,1.0,Hawaii,15,B09002,B09002_017E,4000
2018,1.0,Hawaii,15,B09002,B09002_017E,5895
2019,1.0,Hawaii,15,B09002,B09002_017E,3956
2021,1.0,Hawaii,15,B09002,B09002_017E,3048
2022,1.0,Hawaii,15,B09002,B09002_017E,5355
2023,1.0,Hawaii,15,B09002,B09002_017E,4184
2024,1.0,Hawaii,15,B09002,B09002_017E,5676
2015,1.0,Hawaii,15,B09002,B09002_016E,7670
2016,1.0,Hawaii,15,B09002,B09002_016E,4162
2017,1.0,Hawaii,15,B09002,B09002_016E,6628
2018,1.0,Hawaii,15,B09002,B09002_016E,6660
2019,1.0,Hawaii,15,B09002,B09002_016E,5294
2021,1.0,Hawaii,15,B09002,B09002_016E,4744
2022,1.0,Hawaii,15,B09002,B09002_016E,5239
2023,1.0,Hawaii,15,B09002,B09002_016E,4657
2024,1.0,Hawaii,15,B09002,B09002_016E,6315
2015,1.0,Hawaii,15,B09002,B09002_015E,40526
2016,1.0,Hawaii,15,B09002,B09002_015E,36865
