year,year_weight,NAME,state,table_code,variable,value
2015,1.0,Hawaii,15,B11001,B11001_001E,445936
2016,1.0,Hawaii,15,B11001,B11001_001E,455868
2017,1.0,Hawaii,15,B11001,B11001_001E,458078
2018,1.0,Hawaii,15,B11001,B11001_001E,455309
2019,1.0,Hawaii,15,B11001,B11001_001E,465299
2021,1.0,Hawaii,15,B11001,B11001_001E,490080
2022,1.0,Hawaii,15,B11001,B11001_001E,494827
2023,1.0,Hawaii,15,B11001,B11001_001E,493898
2024,1.0,Hawaii,15,B11001,B11001_001E,493151
2015,1.0,Hawaii,15,B11001,B11001_006E,52065
2016,1.0,Hawaii,15,B11001,B11001_006E,53252
2017,1.0,Hawaii,15,B11001,B11001_006E,58442
2018,1.0,Hawaii,15,B11001,B11001_006E,58535
2019,1.0,Hawaii,15,B11001,B11001_006E,58296
2021,1.0,Hawaii,15,B11001,B11001_006E,60199
2022,1.0,Hawaii,15,B11001,B11001_006E,67049
2023,1.0,Hawaii,15,B11001,B11001_006E,57322
2024,1.0,Hawaii,15,B11001,B11001_006E,62739
2015,1.0,Hawaii,15,B11001,B11001_005E,24870
2016,1.0,Hawaii,15,B11001,B11001_005E,26017
2017,1.0,Hawaii,15,B11001,B11001_005E,28521
2018,1.0,Hawaii,15,B11001,B11001_005E,23152
2019,1.0,Hawaii,15,B11001,B11001_005E,25886
2021,1.0,Hawaii,15,B11001,B11001_005E,26631
2022,1.0,Hawaii,15,B11001,B11001_005E,27276
2023,1.0,Hawaii,15,B11001,B11001_005E,30687
2024,1.0,Hawaii,15,B11001,B11001_005E,27275
2015,1.0,Hawaii,15,B11001,B11001_004E,76935
2016,1.0,Hawaii,15,B11001,B11001_004E,79269
2017,1.0,Hawaii,15,B11001,B11001_004E,86963
2018,1.0,Hawaii,15,B11001,B11001_004E,81687
2019,1.0,Hawaii,15,B11001,B11001_004E,84182
2021,1.0,Hawaii,15,B11001,B11001_004E,86830
2022,1.0,Hawaii,15,B11001,B11001_004E,94325
2023,1.0,Hawaii,15,B11001,B11001_004E,88009
2024,1.0,Hawaii,15,B11001,B11001_004E,90014
2015,1.0,Hawaii,15,B11001,B11001_003E,232451
2016,1.0,Hawaii,15,B11001,B11001_003E,236236
2017,1.0,Hawaii,15,B11001,B11001_003E,233373
2018,1.0,Hawaii,15,B11001,B11001_003E,235162
2019,1.0,Hawaii,15,B11001,B11001_003E,232024
2021,1.0,Hawaii,15,B11001,B11001_003E,248069
2022,1.0,Hawaii,15,B11001,B11001_003E,240727
2023,1.0,Hawaii,15,B11001,B11001_003E,248739
2024,1.0,Hawaii,15,B11001,B11001_003E,241695
2015,1.0,Hawaii,15,B11001,B11001_002E,309386
2016,1.0,Hawaii,15,B11001,B11001_002E,315505
2017,1.0,Hawaii,15,B11001,B11001_002E,320336
2018,1.0,Hawaii,15,B11001,B11001_002E,316849
2019,1.0,Hawaii,15,B11001,B11001_002E,316206
2021,1.0,Hawaii,15,B11001,B11001_002E,334899
2022,1.0,Hawaii,15,B11001,B11001_002E,335052
2023,1.0,Hawaii,15,B11001,B11001_002E,336748
2024,1.0,Hawaii,15,B11001,B11001_002E,331709
2015,1.0,Hawaii,15,B11001,B11001_009E,32330
2016,1.0,Hawaii,15,B11001,B11001_009E,28502
2017,1.0,Hawaii,15,B11001,B11001_009E,25969
2018,1.0,Hawaii,15,B11001,B11001_009E,26721
2019,1.0,Hawaii,15,B11001,B11001_009E,31794
2021,1.0,Hawaii,15,B11001,B11001_009E,34546
2022,1.0,Hawaii,15,B11001,B11001_009E,34451
2023,1.0,Hawaii,15,B11001,B11001_009E,33015
2024,1.0,Hawaii,15,B11001,B11001_009E,33495
2015,1.0,Hawaii,15,B11001,B11001_008E,104220
2016,1.0,Hawaii,15,B11001,B11001_008E,111861
2017,1.0,Hawaii,15,B11001,B11001_008E,111773
2018,1.0,Hawaii,15,B11001,B11001_008E,111739
2019,1.0,Hawaii,15,B11001,B11001_008E,117299
2021,1.0,Hawaii,15,B11001,B11001_008E,120635
2022,1.0,Hawaii,15,B11001,B11001_008E,125324
2023,1.0,Hawaii,15,B11001,B11001_008E,124135
2024,1.0,Hawaii,15,B11001,B11001_008E,127947
2015,1.0,Hawaii,15,B11001,B11001_007E,136550
2016,1.0,Hawaii,15,B11001,B11001_007E,140363
2017,1.0,Hawaii,15,B11001,B11001_007E,137742
2018,1.0,Hawaii,15,B11001,B11001_007E,138460
2019,1.0,Hawaii,15,B11001,B11001_007E,149093
2021,1.0,Hawaii,15,B11001,B11001_007E,155181
2022,1.0,Hawaii,15,B11001,B11001_007E,159775
2023,1.0,Hawaii,15,B11001,B11001_007E,157150
2024,1.0,Hawaii,15,B11001,B11001_007E,161442
