agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.646464435681048,1.6464644356810476,54.882147856034926,21,35.91442335271648,14.914423352716483,71.02106358436421
$10k-$20k,10000,20000.0,64160,64160.004,0.00390625,6.088295e-06,21,33.36897470131518,12.368974701315182,58.8998795300723,333,520.0899730316977,187.0899730316977,56.183175084593906
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.58817195198957,13.588171951989565,26.643474415665814,889,1116.7661788188739,227.76617881887387,25.620492555553863
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.88068041621842,14.880680416218425,16.174652626324377,1533,1786.495736310001,253.4957363100009,16.535925395303387
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.1035011871385,18.103501187138505,15.606466540636642,2166,2504.03325902602,338.03325902602,15.606336981810712
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.8470858087258,27.847085808725808,9.504124849394474,3201,3508.0974623462516,307.09746234625163,9.59379763655894
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,281.9893730104747,20.989373010474708,8.041905367997973,4751,5129.31775702988,378.31775702988034,7.962907956848671
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,450.8643485941939,12.864348594193928,2.9370658890853716,7055,7264.389730028099,209.3897300280987,2.9679621548986352
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,298.3473695007435,4.347369500743525,1.4786971090964374,10496,10664.404114267354,168.4041142673541,1.604459930138663
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,282.88273670653524,-27.11726329346476,-8.747504288214438,16391,14938.096673524593,-1452.903326475407,-8.864031032123771
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,140.56142159263698,-12.438578407363025,-8.129789808734003,25119,23133.87452150049,-1985.1254784995108,-7.90288418527613
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,1139.3908589570337,141.39085895703374,14.16742073717773,112416,128382.06861487703,15966.068614877033,14.202665648018995
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,3258.4709868626865,229.47098686268646,7.575800160537684,4770,5130.505067354025,360.5050673540254,7.557758225451266
