agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.657975973656786,1.6579759736567858,55.26586578855953,21,36.00340073627864,15.003400736278643,71.44476541085068
$10k-$20k,10000,20000.0,64160,64160.004,0.00390625,6.088295e-06,21,33.4462233275724,12.446223327572397,59.267730131297135,333,521.2939727441991,188.2939727441991,56.544736559819555
$20k-$30k,20000,30000.0,57835,57834.996,-0.00390625,-6.7541278e-06,51,64.68993842578215,13.689938425782145,26.84301652114146,889,1118.5258545002812,229.52585450028118,25.818431327365715
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.94925703360029,14.94925703360029,16.249192427826404,1533,1787.6419849499437,254.64198494994366,16.61069699608243
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.07429105948478,18.07429105948478,15.581285396107566,2166,2503.48783604677,337.4878360467701,15.58115586550185
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.33931062557565,27.33931062557565,9.330822739104319,3201,3502.5455190366793,301.54551903667925,9.42035360939329
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,283.58931783585956,22.58931783585956,8.654911048222054,4751,5158.420362264616,407.4203622646164,8.575465423376476
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,451.17013886256933,13.170138862569331,3.0068810188514457,7055,7269.316665795043,214.31666579504326,3.0377982394761625
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,297.319676108845,3.3196761088449875,1.1291415336207442,10496,10627.669291851766,131.6692918517656,1.25447114950234
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,280.46706238277517,-29.53293761722483,-9.526754070072526,16391,14810.5329451748,-1580.4670548251997,-9.642285735008235
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,138.66358998049373,-14.336410019506275,-9.370202627128284,25119,22821.525671575662,-2297.4743284243377,-9.146360637064923
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,800.2254073742404,-197.77459262575962,-19.817093449474914,112416,90166.24308442145,-22249.756915578546,-19.792339983257317
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,2915.5921889904553,-113.40781100954473,-3.7440677124313217,4770,4590.637928114749,-179.36207188525077,-3.7602111506341878
