agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.623334180753343,1.6233341807533428,54.11113935844476,21,35.73564015546425,14.735640155464253,70.16971502602026
$10k-$20k,10000,20000.0,64160,64159.996,-0.00390625,-6.088295e-06,21,33.32052227443454,12.320522274434538,58.66915368778351,333,519.3348550979787,186.33485509797868,55.956412942335945
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.57111236664316,13.571112366643163,26.61002424831993,889,1116.4712088984725,227.47120889847247,25.587312587004778
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.86190307027542,14.861903070275417,16.154242467690672,1533,1786.181875579177,253.1818755791769,16.51545176641728
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.02433133040063,18.024331330400628,15.53821666413847,2166,2502.5549683577747,336.55496835777467,15.538087181799384
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.90388822972386,27.90388822972386,9.523511341202683,3201,3508.718532126132,307.7185321261318,9.613200003940387
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,282.91067417831266,21.91067417831266,8.39489432119259,4751,5146.076000042067,395.0760000420669,8.315638813766931
$100k-$150k,100000,150000.0,62065,62064.996,-0.00390625,-6.2938047e-06,438,453.12581322727635,15.125813227276353,3.453382015359898,7055,7300.827225427095,245.82722542709507,3.4844397650899377
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,296.406493665481,2.40649366548098,0.8185352603676803,10496,10595.02765461399,99.02765461399031,0.9434799410631698
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,281.5370873830099,-28.46291261699008,-9.18158471515809,16391,14867.037407351212,-1523.962592648788,-9.297557151173132
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,140.34212404034054,-12.657875959659464,-8.273121542261087,25119,23097.78210012188,-2021.21789987812,-8.046569926661572
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,1005.0605658897397,7.060565889739678,0.7074715320380439,112416,113246.26094532278,830.2609453227778,0.7385611881963224
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,3123.687849836391,94.6878498363908,3.1260432431954706,4770,4918.287260199917,148.287260199917,3.1087475932896647
