agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.650665358235579,1.650665358235579,55.02217860785264,21,35.94689400070785,14.94689400070785,71.17568571765644
$10k-$20k,10000,20000.0,64160,64160.0,0.0,0.0,21,33.42731152697548,12.42731152697548,59.17767393797847,333,520.9992444977474,187.99924449774744,56.45622957890314
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.7831533022403,13.783153302240294,27.02579078870646,889,1120.137517113172,231.13751711317195,25.999720710143077
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.97697730008282,14.976977300082822,16.279323152263938,1533,1788.1053253561572,255.1053253561572,16.640921419188338
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.36649900307043,18.36649900307043,15.833188795750372,2166,2508.9440575683025,342.94405756830247,15.833058982839448
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.74258484536455,27.742584845364547,9.468458991591994,3201,3506.9548633307227,305.9548633307227,9.558102572031324
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,283.110882545382,22.110882545382026,8.471602507809205,4751,5149.717741294056,398.7177412940564,8.392290913366795
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,454.21268948916435,16.212689489164347,3.70152728063113,7055,7318.3386689626095,263.3386689626095,3.7326529973438625
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,297.61601655113253,3.6160165511325317,1.2299376024260311,10496,10638.261958504881,142.26195850488148,1.3553921351455933
$200k-$300k,200000,300000.0,18937,18936.998,-0.001953125,-1.0313804e-05,310,282.8247277990789,-27.175272200921086,-8.766216839006802,16391,14935.034956385334,-1455.9650436146658,-8.882710289882652
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,139.22842885280383,-13.77157114719617,-9.001026893592268,25119,22914.487961290954,-2204.5120387090465,-8.776273094904441
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,788.9439011399658,-209.05609886003424,-20.947504895795014,112416,88895.08745239051,-23520.912547609492,-20.92310040173062
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,2910.8838377134966,-118.11616228650337,-3.8995101448168827,4770,4583.224567620607,-186.77543237939335,-3.915627513194829
