agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.636435204494248,1.6364352044942478,54.54784014980826,21,35.83690332437429,14.83690332437429,70.65192059225852
$10k-$20k,10000,20000.0,64160,64160.0,0.0,0.0,21,33.41499886360782,12.41499886360782,59.11904220765629,333,520.8073388966307,187.80733889663065,56.39860026925846
$20k-$30k,20000,30000.0,57835,57835.004,0.00390625,6.7541278e-06,51,64.60789156342699,13.607891563426989,26.682140320445075,889,1117.1070666504281,228.10706665042812,25.65883764346773
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.72343990729206,14.723439907292061,16.003739029665283,1533,1783.8674830309403,250.86748303094032,16.364480302083518
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.00830424471118,18.008304244711184,15.524400210957918,2166,2502.255704317266,336.255704317266,15.52427074410277
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.4260982581562,27.426098258156173,9.360443091520878,3201,3503.4944429542875,302.4944429542875,9.449998217878397
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,283.5272632881124,22.527263288112408,8.63113535943004,4751,5157.291605211591,406.29160521159065,8.55170711874533
$100k-$150k,100000,150000.0,62065,62065.004,0.00390625,6.2938047e-06,438,453.61567987624585,15.61567987624585,3.565223716037865,7055,7308.71910620417,253.7191062041702,3.5963020014765443
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,297.8729605247731,3.8729605247730774,1.3173335118275775,10496,10647.446401371642,151.44640137164242,1.4428963545316542
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,282.2074145140424,-27.792585485957602,-8.965350156760516,16391,14902.435154144921,-1488.5648458550786,-9.081598717924951
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,139.23583430302,-13.764165696980001,-8.996186730052289,25119,22915.70676481567,-2203.29323518433,-8.771420976887336
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,836.6414563813101,-161.35854361868985,-16.168190743355694,112416,94269.45987395043,-18146.54012604957,-16.142310815230545
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,2956.917776929192,-72.08222307080814,-2.3797366480953497,4770,4655.705605312394,-114.29439468760575,-2.396108903304104
