occupation_code,occupation_title,years_available,year_range,avg_employment,avg_mean_wage,avg_median_wage,total_wage_growth,annual_wage_growth
47-2152,"Plumbers, Pipefitters, and Steamfitters",5,2020-2024,2384.0,75436.0,73296.0,0.2613837965700769,0.059770465180954746
47-2161,Plasterers and Stucco Masons,5,2020-2024,104.0,77966.0,84588.0,0.15827534452176287,0.03741602667558075
47-2181,Roofers,5,2020-2024,866.0,59492.0,56586.0,-0.054955680902497986,-0.01403149148770555
47-2211,Sheet Metal Workers,5,2020-2024,542.0,83372.0,83712.0,0.18620073970156867,0.043613161676544276
47-2221,Structural Iron and Steel Workers,5,2020-2024,135.0,85302.0,94138.0,0.10601998537655374,0.025511992978928477
47-2231,Solar Photovoltaic Installers,5,2020-2024,352.5,60728.0,58040.0,0.16479530143375368,0.0388728643586429
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2,2023-2024,55.0,49675.0,51540.0,0.3003009956008335,0.30030099560083356
47-3012,Helpers--Carpenters,4,2020-2024,75.0,41682.5,41185.0,0.22188024622271965,0.051373825763111336
47-3013,Helpers--Electricians,5,2020-2024,150.0,41978.0,41700.0,0.4316696375519905,0.09385738612741301
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",4,2020-2024,50.0,41597.5,38490.0,0.06991579484562388,0.017038514698632712
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",5,2020-2024,80.0,46180.0,47846.0,0.15264007378372146,0.036151902262476554
47-3019,"Helpers, Construction Trades, All Other",5,2020-2024,132.0,42954.0,43804.0,-0.06850373422611383,-0.01758433340045573
47-4011,Construction and Building Inspectors,5,2020-2024,662.0,74434.0,68696.0,0.05119977678571429,0.012561277445895858
47-4021,Elevator and Escalator Installers and Repairers,5,2020-2024,287.5,119498.0,129062.0,0.6245109321058688,0.1289654714614623
47-4031,Fence Erectors,5,2020-2024,113.33333333333333,51218.0,51842.0,0.2293640054127199,0.05298000221428034
47-4041,Hazardous Materials Removal Workers,5,2020-2024,258.0,50560.0,49136.0,0.1118204681756626,0.026853922085668946
47-4051,Highway Maintenance Workers,2,2020-2021,155.0,32575.0,29335.0,0.08680333119795003,0.08680333119795014
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,5,2020-2024,74.0,58680.0,58998.0,0.08266513936617029,0.02005488098560093
47-4090,Miscellaneous Construction and Related Workers,4,2020-2024,152.5,57037.5,55412.5,0.1712869469432715,0.04031731244638759
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",2,2023-2024,100.0,76655.0,75515.0,0.06144950921070324,0.061449509210703246
47-5081,Helpers--Extraction Workers,2,2023-2024,50.0,50810.0,51045.0,0.07345439706182412,0.07345439706182422
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",5,2020-2024,2806.0,87046.0,84076.0,0.12257745957289223,0.029328693772215253
