agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.01,0.0078125,6.0386005e-06,3,4.666498627367481,1.6664986273674813,55.54995424558271,21,36.06927363325718,15.069273633257183,71.75844587265325
$10k-$20k,10000,20000.0,64160,64159.996,-0.00390625,-6.088295e-06,21,33.41325036027528,12.413250360275278,59.11071600131085,333,520.7801183692739,187.78011836927385,56.39042593671887
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.61237240411255,13.612372404112548,26.690926282573624,889,1117.1846183818197,228.18461838181975,25.66756112281437
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.8760336164906,14.876033616490602,16.169601757055002,1533,1786.4180656976048,253.4180656976048,16.530858819152304
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,133.98845995785032,17.988459957850324,15.507293067112348,2166,2501.8851639968316,335.8851639968316,15.507163619428974
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.92672124741955,27.92672124741955,9.531304180006671,3201,3508.9681851695245,307.96818516952453,9.62099922429005
$75k-$100k,75000,100000.0,54976,54976.004,0.00390625,7.1053732e-06,261,283.2229759061708,22.222975906170802,8.514550155620997,4751,5151.756326071788,400.75632607178795,8.435199454257797
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,452.3551439349568,14.3551439349568,3.277430122136256,7055,7288.409634012032,233.40963401203226,3.308428547300245
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,297.9095333289812,3.9095333289811833,1.3297732411500622,10496,10648.753693486602,152.75369348660206,1.4553515004439983
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,282.571300330967,-27.428699669032994,-8.847967635171933,16391,14921.65075413038,-1469.34924586962,-8.964366090352145
$300k-$400k,300000,400000.0,6076,6076.0005,0.00048828125,8.036229e-06,153,139.30302952995913,-13.696970470040867,-8.952268281072461,25119,22926.76404464288,-2192.2359553571187,-8.727401390808227
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,563.5030644440359,-434.4969355559641,-43.536767089775964,112416,63493.303035947705,-48922.696964052295,-43.51933618350795
TOTAL,0,inf,635117,635117.06,0.0625,9.840706e-06,3029,2683.348383688586,-345.6516163114138,-11.41141024468187,4770,4224.966611865488,-545.0333881345123,-11.426276480807385
