agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.660387888409538,1.660387888409538,55.3462629469846,21,36.022043411525615,15.022043411525615,71.53354005488389
$10k-$20k,10000,20000.0,64160,64160.0,0.0,0.0,21,33.41428381706452,12.414283817064522,59.11563722411677,333,520.7961941562426,187.79619415624256,56.395253500373144
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.6764927106428,13.676492710642805,26.81665237380942,889,1118.2932949017516,229.29329490175155,25.792271642491738
$30k-$40k,30000,40000.0,59827,59827.004,0.00390625,6.5292425e-06,92,106.52212096081111,14.522120960811108,15.784914087838162,1533,1780.502348533669,247.50234853366896,16.14496728856288
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.1838440652961,18.183844065296114,15.67572764249665,2166,2505.533452811056,339.5334528110561,15.675598006050606
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.6350324695103,27.635032469510293,9.431751696078598,3201,3505.778900594915,304.77890059491483,9.521365216960788
$75k-$100k,75000,100000.0,54976,54976.004,0.00390625,7.1053732e-06,261,283.4964605928186,22.496460592818607,8.619333560466899,4751,5156.7309453095595,405.7309453095595,8.539906236782983
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,452.7774822260033,14.777482226003315,3.3738543894984736,7055,7295.214407895001,240.2144078950014,3.4048817561304237
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,298.1025662802913,4.102566280291285,1.3954307075820696,10496,10655.653641703291,159.6536417032912,1.5210903363499544
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,281.15886372187174,-28.84113627812826,-9.30359234778331,16391,14847.064673489556,-1543.9353265104437,-9.419408983652271
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,139.69686237652743,-13.303137623472566,-8.694861191812134,25119,22991.583669606225,-2127.416330393775,-8.469351209816374
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,959.2503356360372,-38.74966436396278,-3.882731900196671,112416,108084.54486039856,-4331.455139601443,-3.853059297254344
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,3078.574732745284,49.57473274528411,1.6366699486723046,4770,4847.256068953097,77.25606895309738,1.619624087067031
