agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.670657555308826,1.6706575553088259,55.688585176960856,21,36.10142186579293,15.101421865792929,71.91153269425205
$10k-$20k,10000,20000.0,64160,64159.996,-0.00390625,-6.088295e-06,21,33.39253349693873,12.392533496938732,59.01206427113682,333,520.4572245943698,187.4572245943698,56.293460839150086
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.59797742772842,13.597977427728424,26.662700838683186,889,1116.9357210638614,227.93572106386137,25.639563674225123
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.86716719908434,14.867167199084335,16.159964346830797,1533,1786.269864761468,253.26986476146794,16.521191439104236
$40k-$50k,40000,50000.0,53555,53554.996,-0.00390625,-7.2939038e-06,116,133.9802593365594,17.980259336559413,15.500223565999494,2166,2501.7322212482663,335.73222124826634,15.500102550704817
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.9294613529518,27.92946135295182,9.53223936960813,3201,3508.9981451027434,307.99814510274336,9.621935179717068
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,283.364065444541,22.364065444540984,8.568607450015703,4751,5154.323076334054,403.32307633405435,8.48922492810049
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,451.5349824313227,13.534982431322703,3.0901786372882887,7055,7275.19507663454,220.19507663453987,3.121120859454853
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,297.9105467851915,3.9105467851915137,1.3301179541467734,10496,10648.789919402043,152.78991940204287,1.4556966406444634
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,282.50358056676816,-27.496419433231836,-8.869812720397366,16391,14918.074698567258,-1472.9253014327423,-8.986183280048456
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,140.42692305574633,-12.573076944253671,-8.217697349185405,25119,23111.73848843751,-2007.2615115624903,-7.991008844151799
$400k+,400000,inf,8875,8874.999,-0.0009765625,-1.1003521e-05,998,798.2873904123483,-199.71260958765174,-20.011283525816808,112416,89947.88487347375,-22468.115126526245,-19.98658120421136
TOTAL,0,inf,635117,635117.06,0.0625,9.840706e-06,3029,2918.4655450644896,-110.53445493551044,-3.649206171525601,4770,4595.161612532634,-174.83838746736637,-3.6653749993158566
