agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.640331291947366,1.6403312919473656,54.67770973157885,21,35.867017777233535,14.867017777233535,70.79532274873111
$10k-$20k,10000,20000.0,64160,64159.992,-0.0078125,-1.217659e-05,21,33.435260389902055,12.435260389902055,59.215525666200264,333,521.1231992078717,188.12319920787172,56.49345321557709
$20k-$30k,20000,30000.0,57835,57834.996,-0.00390625,-6.7541278e-06,51,64.70103669271727,13.701036692717267,26.864777828857385,889,1118.7177498523122,229.71774985231218,25.840016856278087
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.9902323686257,14.990232368625698,16.293730835462714,1533,1788.3268819868238,255.32688198682376,16.655373906511663
$40k-$50k,40000,50000.0,53555,53555.004,0.00390625,7.2939038e-06,116,134.02979020558612,18.029790205586124,15.54292259102252,2166,2502.656716078486,336.65671607848617,15.542784675830386
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,321.09902079337235,28.099020793372347,9.59010948579261,3201,3510.852084468148,309.85208446814795,9.679852685665354
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,282.89269278791534,21.892692787915337,8.38800489958442,4751,5145.7489229466555,394.7489229466555,8.308754429523374
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,451.822605037076,13.822605037076016,3.1558458988758034,7055,7279.8292924687985,224.82929246879849,3.18680783088304
$150k-$200k,150000,200000.0,27976,27975.998,-0.001953125,-6.9814305e-06,294,297.7767324987424,3.7767324987423763,1.2846028907286995,10496,10644.007480977249,148.00748097724863,1.4101322501643354
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,281.5831786721668,-28.41682132783319,-9.166716557365545,16391,14869.47133506716,-1521.528664932839,-9.282707979579277
$300k-$400k,300000,400000.0,6076,6075.9995,-0.00048828125,-8.036229e-06,153,140.44100743355597,-12.558992566444033,-8.208491873492832,25119,23114.058380466966,-2004.941619533034,-7.981773237521534
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,754.5255444206375,-243.47445557936248,-24.396238034004256,112416,85016.96275162112,-27399.03724837888,-24.37289820699801
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,2873.937432592245,-155.06256740775507,-5.119266008839719,4770,4525.05197088449,-244.9480291155096,-5.135178807453031
