agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.016,0.015625,1.2077201e-05,3,4.6584021011436185,1.6584021011436185,55.28007003812062,21,36.00669010124819,15.00669010124819,71.4604290535628
$10k-$20k,10000,20000.0,64160,64159.996,-0.00390625,-6.088295e-06,21,33.43436024905523,12.434360249055231,59.21123928121539,333,521.1091378528336,188.10913785283356,56.4892305864365
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.55942318077655,13.559423180776548,26.58710427603245,889,1116.269096235438,227.26909623543793,25.564577754267482
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.75927849954354,14.75927849954354,16.04269402124298,1533,1784.4665201254209,251.46652012542086,16.40355643349125
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.0360592944105,18.036059294410506,15.548326977940091,2166,2502.773957509299,336.7739575092992,15.548197484270506
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.51411854925846,27.514118549258455,9.390484146504592,3201,3504.456844588925,303.4568445889249,9.480063873443454
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,283.4444228577809,22.44442285778092,8.599395730950544,4751,5155.7847580358875,404.78475803588753,8.519990697450801
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,454.55667239436207,16.556672394362067,3.780062190493623,7055,7323.880969860019,268.8809698600189,3.8112114792348537
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,298.013897025901,4.013897025900974,1.3652710972452293,10496,10652.484165924398,156.48416592439753,1.4908933491272631
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,283.64541173964164,-26.354588260358355,-8.501480083986566,16391,14978.371005948231,-1412.628994051769,-8.61832099354383
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,140.59520653423456,-12.404793465765437,-8.107708147559109,25119,23139.434913468493,-1979.5650865315074,-7.88074798571403
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,940.8836990190811,-57.116300980918936,-5.7230762505930795,112416,106015.06467820633,-6400.935321793673,-5.693971784971599
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,3065.100951445189,36.10095144518891,1.1918438905641766,4770,4826.041424564591,56.04142456459067,1.1748726323813559
