agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.01,0.0078125,6.0386005e-06,3,4.6825356308330015,1.6825356308330015,56.08452102776672,21,36.19323018236297,15.193230182362967,72.34871515410937
$10k-$20k,10000,20000.0,64160,64160.0,0.0,0.0,21,33.47167854117723,12.471678541177234,59.3889454341773,333,521.690750330069,188.69075033006902,56.663888988008715
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.6485385318718,13.648538531871793,26.761840258572146,889,1117.8099512729627,228.80995127296273,25.737902280423253
$30k-$40k,30000,40000.0,59827,59827.004,0.00390625,6.5292425e-06,92,106.78500463694915,14.785004636949154,16.07065721407517,1533,1784.8964124007143,251.89641240071433,16.431598982434075
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.0632342524256,18.063234252425588,15.571753665884128,2166,2503.281379001505,337.2813790015048,15.571624145960516
$50k-$75k,50000,75000.0,91459,91458.99,-0.0078125,-8.542079e-06,293,321.1252214643889,28.125221464388915,9.599051694330688,3201,3511.138858889352,310.1388588893519,9.688811586671413
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,283.3142618453654,22.314261845365422,8.54952561125112,4751,5153.417161040552,402.41716104055195,8.470157041476572
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,452.76537622330034,14.765376223300336,3.3710904619407156,7055,7295.019354278585,240.01935427858461,3.402116998987734
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,297.0979952850163,3.0979952850162817,1.0537398928626809,10496,10619.745327602814,123.74532760281363,1.1789760632890018
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,279.11715655019873,-30.88284344980127,-9.962207564452024,16391,14739.248906912328,-1651.7510930876724,-10.077183168126853
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,140.83678022947137,-12.163219770528627,-7.949816843482763,25119,23179.193586153946,-1939.806413846054,-7.722466713826402
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,653.7538312243342,-344.24616877566575,-34.49360408573805,112416,73662.40351823485,-38753.596481765155,-34.473381441934556
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,2771.6616144153318,-257.33838558466823,-8.495819926862602,4770,4364.017361234752,-405.98263876524834,-8.511166431137282
