agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.690107998272998,1.6901079982729978,56.3369332757666,21,36.25176229187019,15.251762291870193,72.62743948509616
$10k-$20k,10000,20000.0,64160,64160.0,0.0,0.0,21,33.348664259017916,12.348664259017916,58.80316313818055,333,519.7734454335709,186.77344543357094,56.0881217518231
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.64186475462576,13.641864754625757,26.74875442083482,889,1117.6945578737054,228.69455787370543,25.72492214552367
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.82779784604631,14.827797846046309,16.117171571789466,1533,1785.6118114905696,252.6118114905696,16.47826558973057
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.06603275088617,18.066032750886166,15.57416616455704,2166,2503.3336336641987,337.3336336641987,15.574036641929764
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.9109614210413,27.910961421041293,9.525925399672797,3201,3508.795869417349,307.79586941734897,9.61561603927988
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,282.9974792399411,21.99747923994107,8.428152965494663,4751,5147.6549628918265,396.6549628918265,8.348873140219458
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,451.3851604083755,13.385160408375498,3.0559726959761413,7055,7272.78112315114,217.78112315113958,3.0869046513272798
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,296.8968844233489,2.896884423348922,0.9853348378737831,10496,10612.55663509254,116.55663509254009,1.1104862337322798
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,281.6910954081102,-28.308904591889814,-9.131904707061231,16391,14875.170059043681,-1515.8299409563188,-9.247940582980409
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,140.71791872003973,-12.282081279960266,-8.027504104549193,25119,23159.631125747157,-1959.368874252843,-7.800345850761746
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,660.2022834533655,-337.79771654663455,-33.84746658783913,112416,74388.98968488624,-38027.01031511376,-33.82704447330786
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,2778.3762506830712,-250.62374931692875,-8.27414160835024,4770,4374.589643613808,-395.4103563861918,-8.289525291115131
