agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129375.99,-0.0078125,-6.0386005e-06,3,4.68128410432529,1.6812841043252904,56.042803477509686,21,36.18356099283763,15.183560992837627,72.3026713944649
$10k-$20k,10000,20000.0,64160,64159.996,-0.00390625,-6.088295e-06,21,33.30247393412839,12.302473934128393,58.5832092101352,333,519.0535530187241,186.05355301872407,55.871937843460685
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.7650560316045,13.765056031604502,26.99030594432255,889,1119.824605024717,230.8246050247169,25.964522499968158
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.97719297345535,14.977192973455345,16.279557579842766,1533,1788.1089303066399,255.10893030663988,16.641156575775597
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,133.89593349394963,17.895933493949627,15.427528874094506,2166,2500.15747351227,334.1574735122699,15.427399515801934
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.8448489702332,27.844848970233215,9.503361423287787,3201,3508.0730050649277,307.07300506492766,9.593033585283587
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,283.595130815449,22.59513081544901,8.657138243467054,4751,5158.526098942248,407.5260989422477,8.577690990154656
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,453.52160543646403,15.521605436464029,3.543745533439276,7055,7307.203825609668,252.20382560966755,3.5748238924120135
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,297.7520841714411,3.7520841714410835,1.2762191059323413,10496,10643.125685281708,147.12568528170777,1.4017309954431
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,282.74466193884587,-27.255338061154134,-8.792044535856173,16391,14930.805404174149,-1460.1945958258511,-8.908514403183766
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,138.84617029033495,-14.153829709665047,-9.250869091284345,25119,22851.575097158482,-2267.424902841518,-9.02673236530721
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,995.561940552043,-2.4380594479570163,-0.24429453386342848,112416,112175.99330163865,-240.00669836135057,-0.21349869979482508
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,3116.4883827122744,87.48838271227442,2.8883586237132524,4770,4906.951605314099,136.95160531409874,2.8711028367735585
