agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.679485473506226,1.679485473506226,55.9828491168742,21,36.16965645487746,15.169656454877462,72.2364593089403
$10k-$20k,10000,20000.0,64160,64160.0,0.0,0.0,21,33.46135270125086,12.46135270125086,59.33977476786124,333,521.5298114284735,188.52981142847352,56.61555898752959
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.64988305927405,13.649883059274046,26.764476586811853,889,1117.8331989154326,228.8331989154326,25.740517313322
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.76674930196192,14.766749301961923,16.050814458654266,1533,1784.5913935507701,251.59139355077014,16.41170212333791
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.06198834850642,18.061988348506418,15.570679610781395,2166,2503.2581149940515,337.25811499405154,15.570550092061474
$50k-$75k,50000,75000.0,91459,91458.99,-0.0078125,-8.542079e-06,293,320.8136950475895,27.813695047589476,9.492728685184122,3201,3507.7326720361143,306.7326720361143,9.582401500659616
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,283.6864670597741,22.68646705977409,8.692132973093521,4751,5160.187482897521,409.18748289752057,8.612660132551476
$100k-$150k,100000,150000.0,62065,62065.0,0.0,0.0,438,450.4521142132466,12.452114213246603,2.8429484505129228,7055,7257.747751764225,202.74775176422463,2.873816467246274
$150k-$200k,150000,200000.0,27976,27976.004,0.00390625,1.3962861e-05,294,295.8673169828524,1.867316982852401,0.6351418309021772,10496,10575.753348274087,79.75334827408733,0.7598451626723259
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,282.509702944374,-27.490297055626,-8.867837759879356,16391,14918.398000970272,-1472.6019990297282,-8.984210841496724
$300k-$400k,300000,400000.0,6076,6076.0005,0.00048828125,8.036229e-06,153,140.89640531757973,-12.103594682420265,-7.9108461976603035,25119,23189.004936606885,-1929.9950633931148,-7.683407235133226
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,707.1172317326522,-290.88276826734784,-29.146569966668118,112416,79675.18104029883,-32740.818959701166,-29.124696626548857
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,2824.9623921825682,-204.03760781743176,-6.73613759714202,4770,4447.940131003528,-322.0598689964718,-6.751779224244691
