agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.0,0.0,0.0,3,4.693870605870301,1.693870605870301,56.46235352901003,21,36.280845024349965,15.280845024349965,72.76592868738079
$10k-$20k,10000,20000.0,64160,64160.0,0.0,0.0,21,33.37723733319136,12.37723733319136,58.93922539614933,333,520.218786365202,187.21878636520205,56.22185776732794
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.5577163905448,13.557716390544797,26.583757628519212,889,1116.2395848628823,227.23958486288234,25.561258139806785
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,107.02477153609577,15.02477153609577,16.33127340879975,1533,1788.904199376465,255.90419937646493,16.69303322742759
$40k-$50k,40000,50000.0,53555,53555.004,0.00390625,7.2939038e-06,116,134.00766235182886,18.007662351828856,15.523846855024875,2166,2502.243536129961,336.24353612996083,15.52370896260207
$50k-$75k,50000,75000.0,91459,91458.99,-0.0078125,-8.542079e-06,293,321.33550567950175,28.33550567950175,9.670821051024488,3201,3513.4380774799283,312.4380774799283,9.760639721334844
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,283.12493587597004,22.12493587597004,8.47698692565902,4751,5149.9733679418305,398.9733679418305,8.39767139427132
$100k-$150k,100000,150000.0,62065,62064.996,-0.00390625,-6.2938047e-06,438,452.7922067964625,14.792206796462494,3.377216163575912,7055,7295.452111404532,240.45211140453193,3.4082510475482914
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,296.12274631574326,2.1227463157432567,0.7220225563752574,10496,10584.885127099773,88.88512709977294,0.8468476286182636
$200k-$300k,200000,300000.0,18937,18937.002,0.001953125,1.0313804e-05,310,283.20750644638514,-26.79249355361486,-8.642739856004795,16391,14955.245141095314,-1435.7548589046855,-8.759409791377497
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,141.8564677409123,-11.143532259087692,-7.283354417704374,25119,23347.015757227175,-1771.9842427728254,-7.0543582259358475
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,652.0277035032238,-345.97229649677615,-34.66656277522807,112416,73467.91025388439,-38948.08974611561,-34.646393525935466
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,2774.12833057573,-254.87166942426984,-8.414383275809504,4770,4367.901238001393,-402.0987619986072,-8.429743438125936
