agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129375.984,-0.015625,-1.2077201e-05,3,4.633528985441955,1.6335289854419548,54.4509661813985,21,35.81444429448002,14.814444294480019,70.54497283085723
$10k-$20k,10000,20000.0,64160,64159.996,-0.00390625,-6.088295e-06,21,33.37568269370986,12.375682693709862,58.93182235099934,333,520.1945873709471,187.19458737094715,56.21459080208623
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.6999203476384,13.699920347638397,26.862588916938034,889,1118.6983720521898,229.69837205218982,25.83783712623058
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.88756799036739,14.887567990367387,16.18213911996455,1533,1786.6108611557888,253.61086115578883,16.543435169979702
$40k-$50k,40000,50000.0,53555,53555.0,0.0,0.0,116,134.07743745562692,18.07743745562692,15.583997806574931,2166,2503.546586791652,337.54658679165186,15.583868272929449
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.3438000857599,27.34380008575988,9.332354978075044,3201,3502.5946061706327,301.5946061706327,9.42188710311255
$75k-$100k,75000,100000.0,54976,54976.004,0.00390625,7.1053732e-06,261,283.27056612866534,22.270566128665337,8.53278395734304,4751,5152.621980523059,401.6219805230594,8.453419922607017
$100k-$150k,100000,150000.0,62065,62065.004,0.00390625,6.2938047e-06,438,452.71807554856133,14.71807554856133,3.360291221132724,7055,7294.256780075257,239.25678007525676,3.391308009571322
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,297.6538482344826,3.6538482344826093,1.2428055219328602,10496,10639.614249159371,143.61424915937096,1.3682760018994946
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,281.6386069305861,-28.361393069413907,-9.148836474004487,16391,14872.398317082225,-1518.6016829177752,-9.264850728556983
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,139.64555588739444,-13.354444112605563,-8.728394844840237,25119,22983.139546970775,-2135.860453029225,-8.502967685931864
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,649.938386567921,-348.06161343207896,-34.87591316954699,112416,73232.4942611742,-39183.5057388258,-34.85580854933977
TOTAL,0,inf,635117,635116.94,-0.0625,-9.840706e-06,3029,2768.882976856155,-260.117023143845,-8.587554412144108,4770,4359.642789177158,-410.3572108228418,-8.602876537166496
