agi_bracket,min_agi,max_agi,dotax_returns,model_returns,returns_diff,returns_pct_diff,dotax_tax_millions,model_tax_millions,tax_diff,tax_pct_diff,dotax_avg_tax,model_avg_tax,avg_tax_diff,avg_tax_pct_diff
$0k-$10k,0,10000.0,129376,129376.01,0.0078125,6.0386005e-06,3,4.647021278291323,1.647021278291323,54.900709276377434,21,35.9187252479307,14.918725247930702,71.04154879967001
$10k-$20k,10000,20000.0,64160,64160.004,0.00390625,6.088295e-06,21,33.32988237016671,12.329882370166708,58.71372557222242,333,519.4806786306937,186.48067863069366,56.000203793001106
$20k-$30k,20000,30000.0,57835,57835.0,0.0,0.0,51,64.64554626535208,13.645546265352081,26.755973069317808,889,1117.7582132852438,228.75821328524376,25.73208248427939
$30k-$40k,30000,40000.0,59827,59827.0,0.0,0.0,92,106.85387060756764,14.853870607567643,16.14551152996483,1533,1786.047614080058,253.0476140800581,16.506693677759824
$40k-$50k,40000,50000.0,53555,53555.004,0.00390625,7.2939038e-06,116,134.26060114392828,18.260601143928284,15.74189753786921,2166,2506.9665082828938,340.96650828289376,15.74175938517515
$50k-$75k,50000,75000.0,91459,91459.0,0.0,0.0,293,320.78859326261835,27.78859326261835,9.484161523077935,3201,3507.457912973227,306.45791297322694,9.573817962300122
$75k-$100k,75000,100000.0,54976,54976.0,0.0,0.0,261,282.6408945990672,21.640894599067224,8.291530497726905,4751,5141.16877544869,390.1687754486902,8.212350567221431
$100k-$150k,100000,150000.0,62065,62065.004,0.00390625,6.2938047e-06,438,453.3929598113649,15.392959811364904,3.5143743861563705,7055,7305.130609452968,250.1306094529682,3.5454374125154953
$150k-$200k,150000,200000.0,27976,27976.0,0.0,0.0,294,299.26319071842715,5.263190718427154,1.7902009246350863,10496,10697.140074293222,201.14007429322191,1.9163497931899955
$200k-$300k,200000,300000.0,18937,18937.0,0.0,0.0,310,281.80667442489056,-28.19332557510944,-9.094621153261109,16391,14881.273402592311,-1509.726597407689,-9.210704639178141
$300k-$400k,300000,400000.0,6076,6076.0,0.0,0.0,153,140.41550426193226,-12.584495738067744,-8.225160613116172,25119,23109.859160950007,-2009.1408390499928,-7.998490541223746
$400k+,400000,inf,8875,8875.0,0.0,0.0,998,562.175069170723,-435.82493082927704,-43.669832748424554,112416,63343.66976571526,-49072.33023428474,-43.65244292118981
TOTAL,0,inf,635117,635117.0,0.0,0.0,3029,2684.2198079143295,-344.7801920856705,-11.38264087440312,4770,4226.339096441017,-543.6609035589827,-11.397503219265884
