district,total_tax_units,weighted_tax_units,total_population_estimate,ctc_recipient_units,ctc_recipient_rate,total_ctc_amount,total_refundable_ctc,total_nonrefundable_ctc,total_qualifying_children,avg_ctc_per_unit,avg_ctc_per_recipient,ctc_Q2_Low,ctc_Q1_Lowest,ctc_Q3_Middle,ctc_Q4_High,ctc_Q5_Highest,ctc_single,ctc_married_filing_jointly,ctc_married_filing_separately,ctc_head_of_household
1,10493,232836.90454733034,232836.90454733034,1696,0.16163156389974268,157927837.31956214,81128151.9717706,76799685.34779152,79908.04631655228,678.2766573305782,3686.997728284628,19342735.76935981,59438257.42794279,27778902.795467608,31395725.49567295,19972215.831118956,4752885.788824797,95529569.28093913,3099650.7995586414,54545731.45023954
2,4807,92342.2224143141,92342.2224143141,728,0.1514458081963803,49101061.661091074,30828780.58759422,18272281.073496856,26296.230518299017,531.7292607577511,3510.320411755489,6895542.906841856,12767400.399775302,9003902.30736795,14958108.009559821,5476108.037546143,1988587.0512825265,34263968.18859513,1642815.6737946272,11205690.747418787
3,5228,145166.1755606832,145166.1755606832,559,0.10692425401683243,48553788.078256376,24234541.365217693,24319246.713038683,24845.356360039983,334.47039498508826,3093.074912591964,5773475.437969416,17994496.46321412,6556920.069132956,10263050.40242268,7965845.705517206,537310.8548292215,28105388.658401296,900746.4962673557,19010342.06875851
4,5309,116809.31805942452,116809.31805942452,1034,0.19476360896590694,84308835.25030908,47481467.91662487,36827367.333684206,42653.47896668302,721.7646387372844,3499.5336426406543,11178989.720848143,29464412.01039123,16033201.145779334,18318758.660896145,9313473.712394226,3055108.130988526,55968058.590947956,2151399.22951234,23134269.298860263
5,1809,47962.3794182478,47962.3794182478,507,0.2802653399668325,55990083.81718432,34839417.02505599,21150666.792128336,28197.626267629457,1167.3750238480097,3715.463085690732,8718605.220752914,15646575.389126603,10814197.993192784,13689257.818180215,7121447.395931805,1971211.5526824957,37762750.56393966,1860037.554480497,14396084.146081666
