income_bracket,18-24,25-34,35-44,45-54,55-64,65+,TOTAL
0-25k,9065.903,13640.1615,14166.334,8771.8365,34671.3255,27422.5056,107738.0661
25-50k,8102.073,8285.004,7784.4025,6762.546,22791.629,22063.5145,75789.16900000001
50-75k,2415.476,7206.1045,8703.975,7065.464,22527.0675,20434.5312,68352.6182
75-100k,1871.6005,7437.227,8243.697,7787.353,20892.4905,17455.5983,63687.9663
100-200k,1535.2435,11974.112500000001,19566.732500000002,21623.231,50415.1935,36864.4325,141978.9455
200k+,493.71700000000004,3702.8775,8637.097,12884.8335,29643.6735,21803.2301,77165.4286
TOTAL,23484.013000000003,52245.48700000001,67102.238,64895.264,180941.3795,146043.8122,534712.1937
