income_bracket,18-24,25-34,35-44,45-54,55-64,65+,TOTAL
0-25k,-152.09699999999975,-228.83849999999984,-237.66599999999926,-147.16350000000057,-581.674500000001,2558.5056000000004,1211.0660999999964
25-50k,-135.92699999999968,-138.99599999999919,-130.59749999999985,-113.45399999999972,-382.3709999999992,2058.514500000001,1157.169000000009
50-75k,-40.52399999999989,-120.89549999999963,-146.02499999999964,-118.53600000000006,-377.932499999999,1906.5312000000013,1102.6181999999972
75-100k,-31.39949999999999,-124.77300000000014,-138.30299999999988,-130.64699999999993,-350.5095000000001,1628.5983000000015,852.9663
100-200k,-25.75649999999996,-200.8874999999989,-328.2674999999981,-362.76900000000023,-845.8064999999988,3439.4325000000026,1675.9455000000016
200k+,-8.282999999999959,-62.122499999999945,-144.90300000000025,-216.16649999999936,-497.3264999999992,2034.2301000000007,1105.4285999999993
TOTAL,-393.98699999999735,-876.5129999999917,-1125.7620000000024,-1088.7359999999971,-3035.62049999999,13625.812199999986,7105.193699999945
