component,resident,nonresident,total,resident_share,nonresident_share,impact_rate
Pre-Act 46,3085.0,297.67543859649123,3382.6754385964914,0.9119999999999999,0.088,
Post-Act 46,2471.085,282.8660855263158,2753.951085526316,0.8972871787690969,0.10271282123090303,
Impact,-613.9150000000001,-14.809353070175405,-628.7243530701753,,,-0.18586599999999995
