metric,baseline,ensemble,difference,pct_diff
Total Income,3348975227.3225493,3461788412.123237,112813184.80068779,3.368588214099155
Avg Income,95994.93299287841,99228.6069918089,3233.6739989304915,3.368588214099155
Median Income,63410.711338787165,65546.757087422,2136.0457486348314,3.3685882140991774
Total Tax Liability,169597051.7929614,177865105.55906248,8268053.766101092,4.875116447303851
Avg Effective Rate,3.3102203348750647,3.3860058753420397,0.07578554046697494,2.289440967676115
Total Revenue,169597051.7929614,177865105.55906248,8268053.766101092,4.875116447303851
