filing_status,2022_returns,2026_returns,returns_growth_pct,2022_agi_millions,2026_agi_millions,agi_growth_pct,2022_tax_millions,2026_tax_millions,tax_growth_pct,2022_cap_gains_millions,2026_cap_gains_millions,cagr_used_returns,cagr_used_agi,cagr_used_tax
single,350845.69190282555,364480.1332286111,3.886164670239678,14739.219208597577,19577.65073077486,32.82691880554274,718.5969336551955,1031.0134742181624,43.47590783248094,137.95281122278553,183.238468552853,0.9576954117731074,7.354814192264447,9.444702571011533
married_filing_jointly,255846.86430952078,250860.34342691983,-1.949025600160692,30243.36639445183,39395.85740306243,30.262805037106034,1630.1475559270777,2325.427819468,42.65136987218994,1222.6174653563594,1592.6158052467617,-0.4908587219652038,6.832921871429964,9.287121335297698
head_of_household,69153.75609697885,67158.14307321061,-2.885762301862038,3441.51234010484,4204.480982878637,22.169574517653913,141.97502639098883,196.08011181059564,38.108875057086,71.11361358220536,86.87919913750883,-0.7293818106528627,5.13341347712426,8.406518443292876
married_filing_separately,18453.71865228281,21588.596743050897,16.987785225501373,3625.5081289789923,6341.036377010061,74.90062499999992,264.4689169637574,462.5577887003426,74.90062499999995,289.85536453403284,506.9588441660516,4.000428765959896,15.0,15.0
