tax_system,revenue_millions,description
2017_system_2026_income,3538.16479074521,2017 tax brackets/deductions applied to 2026 income distribution
2026_system_act46,3023.3950360822673,2026 Act 46 tax brackets/deductions applied to 2026 income distribution
