B25077_001E,NAME,state,year,table_code
566900,Hawaii,15,2015,B25077
592000,Hawaii,15,2016,B25077
617400,Hawaii,15,2017,B25077
631700,Hawaii,15,2018,B25077
669200,Hawaii,15,2019,B25077
722500,Hawaii,15,2021,B25077
820100,Hawaii,15,2022,B25077
846400,Hawaii,15,2023,B25077
875900,Hawaii,15,2024,B25077
