Year Month,Tax Type,Amount
Nov 2016,General Excise & Use,261306186.57
Nov 2016,Liquor,4082061.54
Nov 2016,All Others,0
Nov 2016,Individual Income,151020168.63
Nov 2016,Corporate Income,-6617099.190000001
Dec 2016,County Surcharges,19077349.94
Dec 2016,Inheritance/Estate,-129613.48
Dec 2016,Liquor,4690731.1
Dec 2016,Rental Vehicle,4188412.63
Dec 2016,Public Service Co.,10483033.06
Dec 2016,Transient Accommodation,31196847.96
Dec 2016,Individual Income,193718524.79999998
Dec 2016,Tobacco,9115255.22
Dec 2016,General Excise & Use,245219079.73
Dec 2016,Fuel,20103409.47
Dec 2016,Banks/Financial Corp,-5643226.34
Dec 2016,Corporate Income,11460689.699999997
Dec 2016,All Others,3657.35
Jan 2017,Banks/Financial Corp,2693088.68
Jan 2017,Inheritance/Estate,1117993.52
Jan 2017,County Surcharges,21200011.71
Jan 2017,Individual Income,330022698.78
Jan 2017,Fuel,20152225.6
Jan 2017,Corporate Income,-3796933.289999999
Jan 2017,Liquor,4815140.52
Jan 2017,Tobacco,11874666.54
Jan 2017,Public Service Co.,11452512.17
Jan 2017,General Excise & Use,295119307.36
Jan 2017,Transient Accommodation,46570709.2
Jan 2017,Rental Vehicle,4366029.51
Jan 2017,All Others,30.11
Feb 2017,Individual Income,86815069.29999998
Feb 2017,Rental Vehicle,4767254.38
Feb 2017,Corporate Income,-24492856.95
Feb 2017,General Excise & Use,281133638.01
Feb 2017,Liquor,3868502.44
Feb 2017,All Others,10
Feb 2017,County Surcharges,22542188.39
Feb 2017,Fuel,16509565.05
Feb 2017,Tobacco,10654640.75
Feb 2017,Banks/Financial Corp,2179593.03
Feb 2017,Transient Accommodation,51051697.03
Feb 2017,Public Service Co.,11597147.64
Feb 2017,Inheritance/Estate,2570033.47
Mar 2017,All Others,5
Mar 2017,Individual Income,139512907.94
Mar 2017,Transient Accommodation,41994272.71
Mar 2017,General Excise & Use,255850197.25
Mar 2017,Tobacco,7953794.01
Mar 2017,Liquor,3915648.1
Mar 2017,Inheritance/Estate,1431561.66
Mar 2017,Rental Vehicle,4634953.88
Mar 2017,Corporate Income,-3621691.5299999993
Mar 2017,County Surcharges,20363784.74
Mar 2017,Fuel,14902482.6
Mar 2017,Public Service Co.,11437892.16
Mar 2017,Banks/Financial Corp,-221.93
Apr 2017,Liquor,4430384.8
Apr 2017,County Surcharges,20794172.74
Apr 2017,Inheritance/Estate,1148432.75
Apr 2017,Corporate Income,16944058.689999998
Apr 2017,General Excise & Use,279682729.12
