income_min,income_max,rate,base_tax,base_income,year,filing_status,scenario
4800,9600.0,5.5,110,4800,2018,Single_Married_Separate,
9600,14400.0,6.4,374,9600,2018,Single_Married_Separate,
14400,19200.0,6.8,682,14400,2018,Single_Married_Separate,
19200,24000.0,7.2,1008,19200,2018,Single_Married_Separate,
24000,36000.0,7.6,1354,24000,2018,Single_Married_Separate,
36000,48000.0,7.9,2266,36000,2018,Single_Married_Separate,
48000,150000.0,8.25,3214,48000,2018,Single_Married_Separate,
150000,175000.0,9.0,11629,150000,2018,Single_Married_Separate,
175000,200000.0,10.0,13879,175000,2018,Single_Married_Separate,
200000,inf,11.0,16379,200000,2018,Single_Married_Separate,
0,9600.0,1.4,0,0,2025,Single_Married_Separate,
9600,14400.0,3.2,134,9600,2025,Single_Married_Separate,
14400,19200.0,5.5,288,14400,2025,Single_Married_Separate,
19200,24000.0,6.4,552,19200,2025,Single_Married_Separate,
24000,36000.0,6.8,859,24000,2025,Single_Married_Separate,
36000,48000.0,7.2,1675,36000,2025,Single_Married_Separate,
48000,125000.0,7.6,2539,48000,2025,Single_Married_Separate,
125000,175000.0,7.9,8391,125000,2025,Single_Married_Separate,
175000,225000.0,8.25,12341,175000,2025,Single_Married_Separate,
225000,275000.0,9.0,16466,225000,2025,Single_Married_Separate,
275000,325000.0,10.0,20966,275000,2025,Single_Married_Separate,
325000,inf,11.0,25966,325000,2025,Single_Married_Separate,
0,14400.0,1.4,0,0,2027,Single_Married_Separate,
14400,19200.0,3.2,202,14400,2027,Single_Married_Separate,
19200,24000.0,5.5,355,19200,2027,Single_Married_Separate,
24000,36000.0,6.4,619,24000,2027,Single_Married_Separate,
36000,48000.0,6.8,1387,36000,2027,Single_Married_Separate,
48000,125000.0,7.2,2203,48000,2027,Single_Married_Separate,
125000,175000.0,7.6,7747,125000,2027,Single_Married_Separate,
175000,225000.0,7.9,11547,175000,2027,Single_Married_Separate,
225000,275000.0,8.25,15497,225000,2027,Single_Married_Separate,
275000,325000.0,9.0,19622,275000,2027,Single_Married_Separate,
325000,400000.0,10.0,24122,325000,2027,Single_Married_Separate,
400000,inf,11.0,31622,400000,2027,Single_Married_Separate,
0,19200.0,1.4,0,0,2029,Single_Married_Separate,
19200,24000.0,3.2,269,19200,2029,Single_Married_Separate,
24000,36000.0,5.5,422,24000,2029,Single_Married_Separate,
36000,48000.0,6.4,1082,36000,2029,Single_Married_Separate,
48000,125000.0,6.8,1850,48000,2029,Single_Married_Separate,
125000,175000.0,7.2,7086,125000,2029,Single_Married_Separate,
175000,225000.0,7.6,10686,175000,2029,Single_Married_Separate,
225000,275000.0,7.9,14486,225000,2029,Single_Married_Separate,
275000,325000.0,8.25,18436,275000,2029,Single_Married_Separate,
325000,400000.0,9.0,22561,325000,2029,Single_Married_Separate,
400000,475000.0,10.0,29311,400000,2029,Single_Married_Separate,
475000,inf,11.0,36811,475000,2029,Single_Married_Separate,
0,28800.0,1.4,0,0,2027,Joint_Surviving_Spouse,sb3125_sd1
28800,38400.0,3.2,403,28800,2027,Joint_Surviving_Spouse,sb3125_sd1
38400,48000.0,5.5,710,38400,2027,Joint_Surviving_Spouse,sb3125_sd1
48000,72000.0,6.4,1238,48000,2027,Joint_Surviving_Spouse,sb3125_sd1
72000,96000.0,6.8,2774,72000,2027,Joint_Surviving_Spouse,sb3125_sd1
96000,250000.0,7.2,4406,96000,2027,Joint_Surviving_Spouse,sb3125_sd1
250000,350000.0,7.6,15494,250000,2027,Joint_Surviving_Spouse,sb3125_sd1
350000,450000.0,8.25,23094,350000,2027,Joint_Surviving_Spouse,sb3125_sd1
450000,550000.0,9.0,31344,450000,2027,Joint_Surviving_Spouse,sb3125_sd1
550000,650000.0,10.0,40344,550000,2027,Joint_Surviving_Spouse,sb3125_sd1
650000,inf,11.0,50344,650000,2027,Joint_Surviving_Spouse,sb3125_sd1
0,21600.0,1.4,0,0,2027,Head_of_Household,sb3125_sd1
21600,28800.0,3.2,302,21600,2027,Head_of_Household,sb3125_sd1
28800,36000.0,5.5,533,28800,2027,Head_of_Household,sb3125_sd1
36000,54000.0,6.4,929,36000,2027,Head_of_Household,sb3125_sd1
54000,72000.0,6.8,2081,54000,2027,Head_of_Household,sb3125_sd1
72000,187500.0,7.2,3305,72000,2027,Head_of_Household,sb3125_sd1
187500,262500.0,7.6,11621,187500,2027,Head_of_Household,sb3125_sd1
262500,337500.0,8.25,17321,262500,2027,Head_of_Household,sb3125_sd1
337500,412500.0,9.0,23508,337500,2027,Head_of_Household,sb3125_sd1
412500,487500.0,10.0,30258,412500,2027,Head_of_Household,sb3125_sd1
487500,inf,11.0,37758,487500,2027,Head_of_Household,sb3125_sd1
0,14400.0,1.4,0,0,2027,Single_Married_Separate,sb3125_sd1
14400,19200.0,3.2,202,14400,2027,Single_Married_Separate,sb3125_sd1
19200,24000.0,5.5,355,19200,2027,Single_Married_Separate,sb3125_sd1
24000,36000.0,6.4,619,24000,2027,Single_Married_Separate,sb3125_sd1
36000,48000.0,6.8,1387,36000,2027,Single_Married_Separate,sb3125_sd1
48000,125000.0,7.2,2203,48000,2027,Single_Married_Separate,sb3125_sd1
125000,175000.0,7.6,7747,125000,2027,Single_Married_Separate,sb3125_sd1
175000,225000.0,8.25,11547,175000,2027,Single_Married_Separate,sb3125_sd1
225000,275000.0,9.0,15672,225000,2027,Single_Married_Separate,sb3125_sd1
275000,325000.0,10.0,20172,275000,2027,Single_Married_Separate,sb3125_sd1
325000,inf,11.0,25172,325000,2027,Single_Married_Separate,sb3125_sd1
0,19200.0,1.4,0,0,2027,Joint_Surviving_Spouse,hb2306_hd1
19200,28800.0,3.2,269,19200,2027,Joint_Surviving_Spouse,hb2306_hd1
28800,38400.0,5.5,576,28800,2027,Joint_Surviving_Spouse,hb2306_hd1
38400,48000.0,6.4,1104,38400,2027,Joint_Surviving_Spouse,hb2306_hd1
48000,72000.0,6.8,1718,48000,2027,Joint_Surviving_Spouse,hb2306_hd1
72000,96000.0,7.2,3350,72000,2027,Joint_Surviving_Spouse,hb2306_hd1
96000,250000.0,7.6,5078,96000,2027,Joint_Surviving_Spouse,hb2306_hd1
250000,350000.0,7.9,16782,250000,2027,Joint_Surviving_Spouse,hb2306_hd1
350000,450000.0,8.25,24682,350000,2027,Joint_Surviving_Spouse,hb2306_hd1
450000,550000.0,10.0,32932,450000,2027,Joint_Surviving_Spouse,hb2306_hd1
