lower_bound,upper_bound,returns,marginal_rate
,2400.0,82072,1.40
2400.0,4800.0,13773,3.20
4800.0,9600.0,24317,5.50
9600.0,14400.0,20638,6.40
14400.0,19200.0,18647,6.80
19200.0,24000.0,18863,7.20
24000.0,36000.0,47514,7.60
36000.0,48000.0,40454,7.90
48000.0,150000.0,76914,8.25
150000.0,175000.0,2060,9.00
175000.0,200000.0,1220,10.00
200000.0,,4733,11.00
