lower_bound,upper_bound,returns,marginal_rate
,3600.0,6671,1.40
3600.0,7200.0,2619,3.20
7200.0,14400.0,5543,5.50
14400.0,21600.0,5904,6.40
21600.0,28800.0,7376,6.80
28800.0,36000.0,7732,7.20
36000.0,54000.0,13878,7.60
54000.0,72000.0,7835,7.90
72000.0,225000.0,9117,8.25
225000.0,262500.0,176,9.00
262500.0,300000.0,118,10.00
300000.0,,424,11.00
