year,year_weight,NAME,state,table_code,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_001E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_010E,B19001_011E,B19001_012E,B19001_013E
2015,1.0,Hawaii,15,B19001,13731,16542,16852,16700,23431,14298,15293,15164,445936,51173,32445,38040,32942,14892,30955,48599,64879
2016,1.0,Hawaii,15,B19001,13662,16707,16293,16772,25137,16648,11893,16616,455868,50444,34713,37177,41743,14658,31912,48932,62561
2017,1.0,Hawaii,15,B19001,14242,14594,15836,17186,28417,13429,13464,14330,458078,51085,34245,42481,41888,15690,30533,43069,67589
2018,1.0,Hawaii,15,B19001,14803,17909,14612,18829,24091,9842,14171,13740,455309,53504,37961,43919,46416,14371,29884,40807,60450
2019,1.0,Hawaii,15,B19001,12991,16607,12211,14811,23344,12238,12277,15179,465299,54269,38537,47879,50655,13260,31700,46591,62750
2021,1.0,Hawaii,15,B19001,10270,14278,15795,15335,26535,14890,13803,14986,490080,50572,38415,51453,65102,14176,30787,46878,66805
2022,1.0,Hawaii,15,B19001,10676,15047,11125,15478,25998,12629,11699,13740,494827,56647,42833,54538,76182,15853,28915,44283,59184
2023,1.0,Hawaii,15,B19001,11366,14109,11868,12936,22525,14137,10151,14422,493898,52604,45025,56111,84064,12835,25881,44035,61829
2024,1.0,Hawaii,15,B19001,9840,10960,10740,14061,22135,13560,8741,11566,493151,54862,44643,58439,91131,11476,30883,43861,56253
